A	PROTO-CUNEIFORM SIGN A
|APIN~a.APIN~a|	PROTO-CUNEIFORM SIGN APIN-A BESIDE APIN-A
ARARMA₂~a	PROTO-CUNEIFORM SIGN ARARMA2-A
ARARMA₂~a~v1	PROTO-CUNEIFORM SIGN ARARMA2-A VARIANT 1
ARARMA₂~b	PROTO-CUNEIFORM SIGN ARARMA2-B
ARATTA	PROTO-CUNEIFORM SIGN ARATTA
ASAL₂	PROTO-CUNEIFORM SIGN ASAL2
ASAR	PROTO-CUNEIFORM SIGN ASAR
AŠ₂	PROTO-CUNEIFORM SIGN ASH2
AZ	PROTO-CUNEIFORM SIGN AZ
AZU	PROTO-CUNEIFORM SIGN AZU
BA	PROTO-CUNEIFORM SIGN BA
BAD	PROTO-CUNEIFORM SIGN BAD
|BAD&BAD|	PROTO-CUNEIFORM SIGN BAD OVER BAD
BAD₃~a	PROTO-CUNEIFORM SIGN BAD3-A
BAD₃~b1	PROTO-CUNEIFORM SIGN BAD3-B1
BAD₃~b2	PROTO-CUNEIFORM SIGN BAD3-B2
BAHAR₂~a	PROTO-CUNEIFORM SIGN BAHAR2-A
BAHAR₂~a~v1	PROTO-CUNEIFORM SIGN BAHAR2-A VARIANT 1
BAHAR₂~b	PROTO-CUNEIFORM SIGN BAHAR2-B
BAHAR₂~b~v1	PROTO-CUNEIFORM SIGN BAHAR2-B VARIANT 1
BAHAR₂~c	PROTO-CUNEIFORM SIGN BAHAR2-C
BALA~a	PROTO-CUNEIFORM SIGN BALA-A
BALA~b	PROTO-CUNEIFORM SIGN BALA-B
BALA~b~v1	PROTO-CUNEIFORM SIGN BALA-B VARIANT 1
BALAG	PROTO-CUNEIFORM SIGN BALAG
BALAG~v1	PROTO-CUNEIFORM SIGN BALAG VARIANT 1
BAN~a	PROTO-CUNEIFORM SIGN BAN-A
BAN~a~v1	PROTO-CUNEIFORM SIGN BAN-A VARIANT 1
BAN~a~v2	PROTO-CUNEIFORM SIGN BAN-A VARIANT 2
BAN~b	PROTO-CUNEIFORM SIGN BAN-B
BANŠUR~a	PROTO-CUNEIFORM SIGN BANSHUR-A
BANŠUR~b1	PROTO-CUNEIFORM SIGN BANSHUR-B1
BANŠUR~b2	PROTO-CUNEIFORM SIGN BANSHUR-B2
BANŠUR~c	PROTO-CUNEIFORM SIGN BANSHUR-C
BANŠUR~a@t	PROTO-CUNEIFORM SIGN BANSHUR-A TENU
BAPPIR~a	PROTO-CUNEIFORM SIGN BAPPIR-A
BAPPIR~b	PROTO-CUNEIFORM SIGN BAPPIR-B
BAPPIR~c	PROTO-CUNEIFORM SIGN BAPPIR-C
BAPPIR~d	PROTO-CUNEIFORM SIGN BAPPIR-D
BAPPIR~e	PROTO-CUNEIFORM SIGN BAPPIR-E
BAPPIR~f	PROTO-CUNEIFORM SIGN BAPPIR-F
BAR	PROTO-CUNEIFORM SIGN BAR
BARA₂~a	PROTO-CUNEIFORM SIGN BARA2-A
BARA₂~a~v1	PROTO-CUNEIFORM SIGN BARA2-A VARIANT 1
BARA₂~b	PROTO-CUNEIFORM SIGN BARA2-B
BARA₂~b~v1	PROTO-CUNEIFORM SIGN BARA2-B VARIANT 1
BARA₃	PROTO-CUNEIFORM SIGN BARA3
BAU405	PROTO-CUNEIFORM SIGN BAU405
BIR~a	PROTO-CUNEIFORM SIGN BIR-A
BIR~b	PROTO-CUNEIFORM SIGN BIR-B
BIR~c	PROTO-CUNEIFORM SIGN BIR-C
BIR₃~a	PROTO-CUNEIFORM SIGN BIR3-A
BIR₃~a~v1	PROTO-CUNEIFORM SIGN BIR3-A VARIANT 1
BIR₃~b	PROTO-CUNEIFORM SIGN BIR3-B
BIR₃~b~v1	PROTO-CUNEIFORM SIGN BIR3-B VARIANT 1
BIR₃~c	PROTO-CUNEIFORM SIGN BIR3-C
BU~a	PROTO-CUNEIFORM SIGN BU-A
BU~a~v1	PROTO-CUNEIFORM SIGN BU-A VARIANT 1
BU~b	PROTO-CUNEIFORM SIGN BU-B
|BU~b.NA₂~a~v1|	PROTO-CUNEIFORM SIGN BU-B BESIDE NA2-A VARIANT 1
|BU~a~v1×A|	PROTO-CUNEIFORM SIGN BU-A VARIANT 1 TIMES A
|BU~a×GIŠ@t|	PROTO-CUNEIFORM SIGN BU-A TIMES GISH TENU
|BU~a×1(N58)|	PROTO-CUNEIFORM SIGN BU-A TIMES ONE-N58
|(BU~a&BU~a).NA₂~a|	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A
|(BU~a&BU~a).NA₂~a~v1|	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A VARIANT 1
|(BU~a&BU~a).NA₂~b|	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-B
|(BU~a~v1%BU~a~v1).NA₂~a@n|	PROTO-CUNEIFORM SIGN BU-A VARIANT 1 CROSSING BU-A VARIANT 1 BESIDE NA2-A NUTILLU
|(BU~a&BU~a).X|	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE X
|BU~a+DU₆~a|	PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A
|BU~a+DU₆~a~v1|	PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A VARIANT 1
BU₃	PROTO-CUNEIFORM SIGN BU3
BULUG	PROTO-CUNEIFORM SIGN BULUG
BULUG₃	PROTO-CUNEIFORM SIGN BULUG3
BUR~a	PROTO-CUNEIFORM SIGN BUR-A
BUR~b	PROTO-CUNEIFORM SIGN BUR-B
BUR~c	PROTO-CUNEIFORM SIGN BUR-C
BUR~d	PROTO-CUNEIFORM SIGN BUR-D
BUR₂	PROTO-CUNEIFORM SIGN BUR2
DA~a	PROTO-CUNEIFORM SIGN DA-A
DA~b	PROTO-CUNEIFORM SIGN DA-B
DA~c	PROTO-CUNEIFORM SIGN DA-C
DA~d	PROTO-CUNEIFORM SIGN DA-D
|DA~a.LIŠ|	PROTO-CUNEIFORM SIGN DA-A BESIDE LISH
DAG	PROTO-CUNEIFORM SIGN DAG
DAH	PROTO-CUNEIFORM SIGN DAH
DAM	PROTO-CUNEIFORM SIGN DAM
DANNA	PROTO-CUNEIFORM SIGN DANNA
DAR~a	PROTO-CUNEIFORM SIGN DAR-A
DAR~b	PROTO-CUNEIFORM SIGN DAR-B
DAR~c	PROTO-CUNEIFORM SIGN DAR-C
DAR~d	PROTO-CUNEIFORM SIGN DAR-D
|DAR~a×A|	PROTO-CUNEIFORM SIGN DAR-A TIMES A
DARA₃~a	PROTO-CUNEIFORM SIGN DARA3-A
DARA₃~b	PROTO-CUNEIFORM SIGN DARA3-B
DARA₃~c	PROTO-CUNEIFORM SIGN DARA3-C
DARA₃~c~v1	PROTO-CUNEIFORM SIGN DARA3-C VARIANT 1
DARA₃~d	PROTO-CUNEIFORM SIGN DARA3-D
|DARA₃~c×KAR₂~b|	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-B
|DARA₃~d×KAR₂~b|	PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2-B
|DARA₃~d1×KAR₂~b|	PROTO-CUNEIFORM SIGN DARA3-D1 TIMES KAR2-B
|DARA₃~d2×KAR₂~a1|	PROTO-CUNEIFORM SIGN DARA3-D2 TIMES KAR2-A1
|DARA₃~c×(KAR₂~c.ŠE~a)|	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-C PLUS SHE-A
|DARA₃~d2×(KAR₂~a1.ŠE~a)|	PROTO-CUNEIFORM SIGN DARA3-D2 TIMES KAR2-A1 PLUS SHE-A
DARA₄~a1	PROTO-CUNEIFORM SIGN DARA4-A1
DARA₄~a2	PROTO-CUNEIFORM SIGN DARA4-A2
DARA₄~a3	PROTO-CUNEIFORM SIGN DARA4-A3
DARA₄~b	PROTO-CUNEIFORM SIGN DARA4-B
DARA₄~c1	PROTO-CUNEIFORM SIGN DARA4-C1
DARA₄~c2	PROTO-CUNEIFORM SIGN DARA4-C2
DARA₄~c3	PROTO-CUNEIFORM SIGN DARA4-C3
DARA₄~c4	PROTO-CUNEIFORM SIGN DARA4-C4
DARA₄~c5	PROTO-CUNEIFORM SIGN DARA4-C5
DI	PROTO-CUNEIFORM SIGN DI
DI@t	PROTO-CUNEIFORM SIGN DI TENU
DIB	PROTO-CUNEIFORM SIGN DIB
DIB~v1	PROTO-CUNEIFORM SIGN DIB VARIANT 1
DILMUN	PROTO-CUNEIFORM SIGN DILMUN
DILMUN~v1	PROTO-CUNEIFORM SIGN DILMUN VARIANT 1
DILMUN~v2	PROTO-CUNEIFORM SIGN DILMUN VARIANT 2
DIM~a	PROTO-CUNEIFORM SIGN DIM-A
DIM~b	PROTO-CUNEIFORM SIGN DIM-B
DIM~c	PROTO-CUNEIFORM SIGN DIM-C
|DIM~a×GU|	PROTO-CUNEIFORM SIGN DIM-A TIMES GU
|DIM~a×X|	PROTO-CUNEIFORM SIGN DIM-A TIMES X
DIN	PROTO-CUNEIFORM SIGN DIN
DIN@t	PROTO-CUNEIFORM SIGN DIN TENU
DU	PROTO-CUNEIFORM SIGN DU
|DU×1(N58@t)|	PROTO-CUNEIFORM SIGN DU TIMES ONE-N58 TENU
DU@g	PROTO-CUNEIFORM SIGN DU GUNU
DU₆~a	PROTO-CUNEIFORM SIGN DU6-A
DU₆~a~v1	PROTO-CUNEIFORM SIGN DU6-A VARIANT 1
DU₆~b	PROTO-CUNEIFORM SIGN DU6-B
DU₆~c	PROTO-CUNEIFORM SIGN DU6-C
|DU₆~a~v1×1(N58)|	PROTO-CUNEIFORM SIGN DU6-A VARIANT 1 TIMES ONE-N58
DU₇	PROTO-CUNEIFORM SIGN DU7
DU₈~a	PROTO-CUNEIFORM SIGN DU8-A
DU₈~b	PROTO-CUNEIFORM SIGN DU8-B
DU₈~b~v1	PROTO-CUNEIFORM SIGN DU8-B VARIANT 1
DU₈~c	PROTO-CUNEIFORM SIGN DU8-C
|DU₈~c×HI|	PROTO-CUNEIFORM SIGN DU8-C TIMES HI
|DU₈~c×UDU~a|	PROTO-CUNEIFORM SIGN DU8-C TIMES UDU-A
|DU₈~c×X|	PROTO-CUNEIFORM SIGN DU8-C TIMES X
DU₈~c@g	PROTO-CUNEIFORM SIGN DU8-C GUNU
DU₈~c@g~v1	PROTO-CUNEIFORM SIGN DU8-C GUNU VARIANT 1
DUB~a	PROTO-CUNEIFORM SIGN DUB-A
DUB~b	PROTO-CUNEIFORM SIGN DUB-B
DUB~b~v1	PROTO-CUNEIFORM SIGN DUB-B VARIANT 1
DUB~b~v2	PROTO-CUNEIFORM SIGN DUB-B VARIANT 2
DUB~b~v3	PROTO-CUNEIFORM SIGN DUB-B VARIANT 3
DUB~b~v4	PROTO-CUNEIFORM SIGN DUB-B VARIANT 4
DUB~c	PROTO-CUNEIFORM SIGN DUB-C
DUB~d	PROTO-CUNEIFORM SIGN DUB-D
DUB~e	PROTO-CUNEIFORM SIGN DUB-E
DUB~f	PROTO-CUNEIFORM SIGN DUB-F
|(DUB@n~a×1(N58))~a|	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM A
|(DUB@n~a×1(N58))~b|	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM B
|DUB@n~b×1(N58)~a|	PROTO-CUNEIFORM SIGN DUB NUTILLU-B TIMES ONE-N58-A
DUB₂	PROTO-CUNEIFORM SIGN DUB2
DUG~a	PROTO-CUNEIFORM SIGN DUG-A
DUG~a~v1	PROTO-CUNEIFORM SIGN DUG-A VARIANT 1
DUG~a~v2	PROTO-CUNEIFORM SIGN DUG-A VARIANT 2
DUG~b	PROTO-CUNEIFORM SIGN DUG-B
DUG~b~v1	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1
DUG~c~v1	PROTO-CUNEIFORM SIGN DUG-C VARIANT 1
DUG~c~v3	PROTO-CUNEIFORM SIGN DUG-C VARIANT 3
DUG~d	PROTO-CUNEIFORM SIGN DUG-D
|DUG~b~v1×AB₂|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES AB2
|DUG~b×ANŠE~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-B
|DUG~b×ANŠE~d|	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-D
|DUG~b×BALA~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES BALA-A
|DUG~b×BIR₃~c|	PROTO-CUNEIFORM SIGN DUG-B TIMES BIR3-C
|DUG~b×DIN|	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN
|DUG~b~v1×DIN|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES DIN
|(DUG~b×DIN)@r|	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN REVERSED
|DUG~b×E~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES E-A
|DUG~b×GA~a~v4|	PROTO-CUNEIFORM SIGN DUG-B TIMES GA-A VARIANT 4
|DUG~b×GA~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES GA-B
|DUG~b×GEŠTU~a~v2|	PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-A VARIANT 2
|DUG~b×GEŠTU~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-B
|DUG~b~v1×GEŠTU~a~v2|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES GESHTU-A VARIANT 2
|DUG~b×GI₆|	PROTO-CUNEIFORM SIGN DUG-B TIMES GI6
|DUG~b×GIŠ|	PROTO-CUNEIFORM SIGN DUG-B TIMES GISH
|DUG~a×HI|	PROTO-CUNEIFORM SIGN DUG-A TIMES HI
|DUG~b×HI|	PROTO-CUNEIFORM SIGN DUG-B TIMES HI
|DUG~b~v1×HI|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES HI
|DUG~b~v1×HI@g~a|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES HI GUNU-A
|DUG~a×KASKAL|	PROTO-CUNEIFORM SIGN DUG-A TIMES KASKAL
|DUG~b×KASKAL|	PROTO-CUNEIFORM SIGN DUG-B TIMES KASKAL
|DUG~b×KU₆~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES KU6-A
|DUG~b×KUR~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A
|DUG~b×KUR~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-B
|DUG~b×(KUR~a.X)|	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A PLUS X
|DUG~b×KUR@g~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR GUNU-A
|DUG~a×LAM~b|	PROTO-CUNEIFORM SIGN DUG-A TIMES LAM-B
|DUG~b×LAM~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES LAM-A
|DUG~b×MAŠ|	PROTO-CUNEIFORM SIGN DUG-B TIMES MASH
|DUG~b~v1×MAŠ|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES MASH
|DUG~a×1(N57)|	PROTO-CUNEIFORM SIGN DUG-A TIMES ONE-N57
|DUG~b×1(N57)|	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57
|DUG~b~v1×1(N57)|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES ONE-N57
|DUG~c~v1×1(N57)|	PROTO-CUNEIFORM SIGN DUG-C VARIANT 1 TIMES ONE-N57
|DUG~c~v2×1(N57)|	PROTO-CUNEIFORM SIGN DUG-C VARIANT 2 TIMES ONE-N57
|DUG~c~v3×1(N57)|	PROTO-CUNEIFORM SIGN DUG-C VARIANT 3 TIMES ONE-N57
|DUG~b×(1(N57).KU₃~a)|	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57 PLUS KU3-A
|DUG~b×3(N57)|	PROTO-CUNEIFORM SIGN DUG-B TIMES THREE-N57
|DUG~a×NAGA~a|	PROTO-CUNEIFORM SIGN DUG-A TIMES NAGA-A
|DUG~b×NAGA~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES NAGA-A
|DUG~b×NAM₂|	PROTO-CUNEIFORM SIGN DUG-B TIMES NAM2
|DUG~b×(NI~a@g.ZATU779)|	PROTO-CUNEIFORM SIGN DUG-B TIMES NI-A GUNU PLUS ZATU779
|DUG~b×SA~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A
|DUG~b×SI₄~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A
|DUG~b×(SI₄~a.X)|	PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A PLUS X
|DUG~b×SIG₂~a1|	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A1
|DUG~b×SIG₂~a2|	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A2
|DUG~b×SIG₇|	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG7
|DUG~b×SUHUR|	PROTO-CUNEIFORM SIGN DUG-B TIMES SUHUR
|DUG~b×ŠAH₂~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SHAH2-A
|DUG~b×ŠE~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A
|DUG~b~v1×ŠE~a|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES SHE-A
|DUG~b~v1×ŠE~a@t|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES SHE-A TENU
|DUG~b×(ŠE~a.NAM₂)|	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A PLUS NAM2
|DUG~b×TAK₄~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A
|DUG~b×(TAK₄~a.SA~a)|	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SA-A
|DUG~b×(TAK₄~a.SAL)|	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SAL
|DUG~b×TI|	PROTO-CUNEIFORM SIGN DUG-B TIMES TI
|DUG~a×U₂~a|	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-A
|DUG~a×U₂~b|	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-B
|DUG~b×U₂~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES U2-A
|DUG~b~v1×U₂~b|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES U2-B
|DUG~b~v2×U₂~b|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 2 TIMES U2-B
|DUG~b×UH₃~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A
|DUG~b×UH₃~a@t|	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A TENU
|DUG~a×X|	PROTO-CUNEIFORM SIGN DUG-A TIMES X
|DUG~b×X|	PROTO-CUNEIFORM SIGN DUG-B TIMES X
|DUG~b~v1×X|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES X
|DUG~b×ZATU707~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU707-A
|DUG~b×ZATU764|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU764
|DUG~b×ZATU779|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU779
|DUG~b×ZATU780|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU780
|DUG~b×ZATU781|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU781
|DUG~b×(ZATU789.SA~a)|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU789 PLUS SA-A
|(DUG~b~v1&DUG~b~v1)×1(N58)|	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 OVER DUG-B VARIANT 1 TIMES ONE-N58
DUG~c@t	PROTO-CUNEIFORM SIGN DUG-C TENU
DUGUD	PROTO-CUNEIFORM SIGN DUGUD
DUR~a	PROTO-CUNEIFORM SIGN DUR-A
DUR~b	PROTO-CUNEIFORM SIGN DUR-B
DUR₂	PROTO-CUNEIFORM SIGN DUR2
E~a	PROTO-CUNEIFORM SIGN E-A
E~b	PROTO-CUNEIFORM SIGN E-B
E~c	PROTO-CUNEIFORM SIGN E-C
E~d	PROTO-CUNEIFORM SIGN E-D
E~e	PROTO-CUNEIFORM SIGN E-E
E₂~a	PROTO-CUNEIFORM SIGN E2-A
E₂~b	PROTO-CUNEIFORM SIGN E2-B
E₂~c	PROTO-CUNEIFORM SIGN E2-C
E₂~d	PROTO-CUNEIFORM SIGN E2-D
|E₂~a.LIŠ|	PROTO-CUNEIFORM SIGN E2-A BESIDE LISH
|E₂~b.LIŠ|	PROTO-CUNEIFORM SIGN E2-B BESIDE LISH
|E₂~b×3(N57)|	PROTO-CUNEIFORM SIGN E2-B TIMES THREE-N57
|E₂~a×1(N58@t)|	PROTO-CUNEIFORM SIGN E2-A TIMES ONE-N58 TENU
|E₂~b×1(N58@t)|	PROTO-CUNEIFORM SIGN E2-B TIMES ONE-N58 TENU
|E₂~a×3(N58)|	PROTO-CUNEIFORM SIGN E2-A TIMES THREE-N58
E₃~a	PROTO-CUNEIFORM SIGN E3-A
E₃~b	PROTO-CUNEIFORM SIGN E3-B
EDIN	PROTO-CUNEIFORM SIGN EDIN
EN~a	PROTO-CUNEIFORM SIGN EN-A
EN~a~v1	PROTO-CUNEIFORM SIGN EN-A VARIANT 1
EN~a~v2	PROTO-CUNEIFORM SIGN EN-A VARIANT 2
EN~a~v3	PROTO-CUNEIFORM SIGN EN-A VARIANT 3
EN~b	PROTO-CUNEIFORM SIGN EN-B
EN~b~v1	PROTO-CUNEIFORM SIGN EN-B VARIANT 1
EN~c	PROTO-CUNEIFORM SIGN EN-C
EN~c~v1	PROTO-CUNEIFORM SIGN EN-C VARIANT 1
EN~e	PROTO-CUNEIFORM SIGN EN-E
|EN~c&EN~c|	PROTO-CUNEIFORM SIGN EN-C OVER EN-C
EN@g~a	PROTO-CUNEIFORM SIGN EN GUNU-A
EN@g~b	PROTO-CUNEIFORM SIGN EN GUNU-B
EN~b@t	PROTO-CUNEIFORM SIGN EN-B TENU
EN₂	PROTO-CUNEIFORM SIGN EN2
|EN₂.E₂~a|	PROTO-CUNEIFORM SIGN EN2 BESIDE E2-A
|EN₂.E₂~b|	PROTO-CUNEIFORM SIGN EN2 BESIDE E2-B
ENDIB	PROTO-CUNEIFORM SIGN ENDIB
ENGIZ	PROTO-CUNEIFORM SIGN ENGIZ
ENKUM	PROTO-CUNEIFORM SIGN ENKUM
ENKUM~v1	PROTO-CUNEIFORM SIGN ENKUM VARIANT 1
ENLIL	PROTO-CUNEIFORM SIGN ENLIL
ENSI	PROTO-CUNEIFORM SIGN ENSI
ENSI₂	PROTO-CUNEIFORM SIGN ENSI2
ERIM~a	PROTO-CUNEIFORM SIGN ERIM-A
ERIM~b1	PROTO-CUNEIFORM SIGN ERIM-B1
