id_text	designation	provenience	museum_no	excavation_no	accession_no	primary_publication	publication_history	genre	subgenre	period
P000047	CDLI Lexical 000023, ex. 026	Uruk (mod. Warka)	IM 023439,08	W 15825,a8		CDLI Lexical 000023, ex. 026	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 057, W 15825,a8	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000048	CDLI Lexical 000002, ex. 067	Uruk (mod. Warka)	IM 023440,06a ?	W 15833,a07 + W 15833,08		CDLI Lexical 000002, ex. 067	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15833,a7+	Lexical	Archaic Lu2 A (witness)	Uruk III
P000050	CDLI Lexical 000007, ex. 011	Uruk (mod. Warka)	IM 023441,1	W 15863,d		CDLI Lexical 000007, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 027, W 15863,d	Lexical	Archaic Officials (witness)	Uruk III
P000051	CDLI Lexical 000002, ex. 088	Uruk (mod. Warka)	IM 023446,01a ?	W 15892,a + W 15892,b		CDLI Lexical 000002, ex. 088	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15892,a+	Lexical	Archaic Lu2 A (witness)	Uruk III
P000053	CDLI Lexical 000023, ex. 010	Uruk (mod. Warka)	IM 023446,02	W 15892,c		CDLI Lexical 000023, ex. 010	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 055, W 15892,c	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000054	CDLI Lexical 000002, ex. 068	Uruk (mod. Warka)	VAT 16757	W 15895,a		CDLI Lexical 000002, ex. 068	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,a	Lexical	Archaic Lu2 A (witness)	Uruk III
P000055	CDLI Lexical 000002, ex. 058	Uruk (mod. Warka)	VAT 17678	W 15895,b		CDLI Lexical 000002, ex. 058	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 15895,b	Lexical	Archaic Lu2 A (witness)	Uruk III
P000056	CDLI Lexical 000023, ex. 086	Uruk (mod. Warka)	VAT 17615	W 15895,c		CDLI Lexical 000023, ex. 086	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 065, W 15895,c	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000057	CDLI Lexical 000002, ex. 117	Uruk (mod. Warka)	VAT 16941 + VAT 17656	W 15895,d + W 15895,v		CDLI Lexical 000002, ex. 117	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 017, W 15895,d+	Lexical	Archaic Lu2 A (witness)	Uruk III
P000058	CDLI Lexical 000023, ex. 062	Uruk (mod. Warka)	VAT 16804 + VAT 21311	W 15895,e + W 15895,f		CDLI Lexical 000023, ex. 062	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 062, W 15895,e+	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000060	CDLI Lexical 000026, ex. 035	Uruk (mod. Warka)	VAT 17654	W 15895,g		CDLI Lexical 000026, ex. 035	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 073, W 15895,g	Lexical	Archaic Metal (witness)	Uruk III
P000061	CDLI Lexical 000002, ex. 092	Uruk (mod. Warka)	VAT 16798	W 15895,h		CDLI Lexical 000002, ex. 092	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,h	Lexical	Archaic Lu2 A (witness)	Uruk III
P000062	CDLI Lexical 000030, ex. 027	Uruk (mod. Warka)	VAT 16826	W 15895,i		CDLI Lexical 000030, ex. 027	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 049, W 15895,i	Lexical	Archaic Tribute (witness)	Uruk III
P000063	CDLI Lexical 000026, ex. 036	Uruk (mod. Warka)	VAT 17650	W 15895,k		CDLI Lexical 000026, ex. 036	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 073, W 15895,k	Lexical	Archaic Metal (witness)	Uruk III
P000064	CDLI Lexical 000023, ex. 063	Uruk (mod. Warka)	VAT 16802 + VAT 16808 	W 15895,l +		CDLI Lexical 000023, ex. 063	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 062, W 15895,l+	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000065	CDLI Lexical Archaic Unidentified, ex. 021	Uruk (mod. Warka)	VAT 17696	W 15895,m		CDLI Lexical Archaic Unidentified, ex. 021	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,m	Lexical	Archaic Unidentified (witness)	Uruk III
P000066	CDLI Lexical 000002, ex. 047	Uruk (mod. Warka)	VAT 16819	W 15895,n		CDLI Lexical 000002, ex. 047	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 009, W 15895,n	Lexical	Archaic Lu2 A (witness)	Uruk III
P000067	CDLI Lexical 000002, ex. 052	Uruk (mod. Warka)	VAT 16817	W 15895,o		CDLI Lexical 000002, ex. 052	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 010, W 15895,o	Lexical	Archaic Lu2 A (witness)	Uruk III
P000068	CDLI Lexical 000030, ex. 013	Uruk (mod. Warka)	VAT 17665	W 15895,p + W 15895,aq		CDLI Lexical 000030, ex. 013	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 047, W 15895,p+	Lexical	Archaic Tribute (witness)	Uruk III
P000069	CDLI Lexical 000023, ex. 053	Uruk (mod. Warka)	VAT 16806	W 15895,q		CDLI Lexical 000023, ex. 053	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 061, W 15895,q	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000070	CDLI Lexical 000030, ex. 028	Uruk (mod. Warka)	VAT 17623	W 15895,r		CDLI Lexical 000030, ex. 028	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 049, W 15895,r	Lexical	Archaic Tribute (witness)	Uruk III
P000071	CDLI Lexical 000002, ex. 019	Uruk (mod. Warka)	VAT 16803	W 15895,s		CDLI Lexical 000002, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 15895,s	Lexical	Archaic Lu2 A (witness)	Uruk III
P000072	CDLI Lexical 000023, ex. 018	Uruk (mod. Warka)	VAT 17677	W 15895,t		CDLI Lexical 000023, ex. 018	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 056, W 15895,t	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000073	CDLI Lexical 000023, ex. 019	Uruk (mod. Warka)	VAT 16931	W 15895,u		CDLI Lexical 000023, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 056, W 15895,u	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000075	CDLI Lexical 000007, ex. 008	Uruk (mod. Warka)	VAT 17667	W 15895,w		CDLI Lexical 000007, ex. 008	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 026, W 15895,w	Lexical	Archaic Officials (witness)	Uruk III
P000076	CDLI Lexical 000028, ex. 02	Uruk (mod. Warka)	VAT 16821	W 15895,y		CDLI Lexical 000028, ex. 02	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 15895,y, 	Lexical	Archaic Grain (witness)	Uruk III
P000077	CDLI Lexical 000026, ex. 001	Uruk (mod. Warka)	IM 023447,01	W 15895,aa		CDLI Lexical 000026, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 068, W 15895,aa	Lexical	Archaic Metal (witness)	Uruk III
P000078	CDLI Lexical 000030, ex. 011	Uruk (mod. Warka)	IM 023447,02	W 15895,ab		CDLI Lexical 000030, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 047, W 15895,ab	Lexical	Archaic Tribute (witness)	Uruk III
P000079	CDLI Lexical Archaic Unidentified, ex. 014	Uruk (mod. Warka)	IM 023447,03	W 15895,ac		CDLI Lexical Archaic Unidentified, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,ac	Lexical	Archaic Unidentified (witness)	Uruk III
P000080	CDLI Lexical 000002, ex. 079	Uruk (mod. Warka)	IM 023447,04	W 15895,ad		CDLI Lexical 000002, ex. 079	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 15895,ad	Lexical	Archaic Lu2 A (witness)	Uruk III
P000081	CDLI Lexical 000002, ex. 089	Uruk (mod. Warka)	IM 023447,05	W 15895,ae		CDLI Lexical 000002, ex. 089	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,ae	Lexical	Archaic Lu2 A (witness)	Uruk III
P000082	CDLI Lexical 000002, ex. 080	Uruk (mod. Warka)	IM 023447,08	W 15895,ah		CDLI Lexical 000002, ex. 080	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 15895,ah	Lexical	Archaic Lu2 A (witness)	Uruk III
P000083	CDLI Lexical 000002, ex. 099	Uruk (mod. Warka)	IM 023447,09	W 15895,ai		CDLI Lexical 000002, ex. 099	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 015, W 15895,ai	Lexical	Archaic Lu2 A (witness)	Uruk III
P000084	CDLI Lexical 000002, ex. 090	Uruk (mod. Warka)	IM 023447,10	W 15895,ak		CDLI Lexical 000002, ex. 090	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,ak	Lexical	Archaic Lu2 A (witness)	Uruk III
P000085	CDLI Lexical Archaic Unidentified, ex. 015	Uruk (mod. Warka)	IM 023447,12	W 15895,am		CDLI Lexical Archaic Unidentified, ex. 015	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,am	Lexical	Archaic Unidentified (witness)	Uruk III
P000086	CDLI Lexical Archaic Unidentified, ex. 016	Uruk (mod. Warka)	IM 023447,13	W 15895,an		CDLI Lexical Archaic Unidentified, ex. 016	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,an	Lexical	Archaic Unidentified (witness)	Uruk III
P000087	CDLI Lexical 000002, ex. 116	Uruk (mod. Warka)	IM 023447,14	W 15895,ao		CDLI Lexical 000002, ex. 116	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 017, W 15895,ao	Lexical	Archaic Lu2 A (witness)	Uruk III
P000088	CDLI Lexical 000002, ex. 069	Uruk (mod. Warka)	IM 023447,15	W 15895,ap		CDLI Lexical 000002, ex. 069	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,ap	Lexical	Archaic Lu2 A (witness)	Uruk III
P000090	CDLI Lexical 000023, ex. 045	Uruk (mod. Warka)	IM 023447,17	W 15895,ar		CDLI Lexical 000023, ex. 045	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 060, W 15895,ar	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000091	CDLI Lexical 000002, ex. 137	Uruk (mod. Warka)	IM 023447,18	W 15895,as		CDLI Lexical 000002, ex. 137	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 019, W 15895,as	Lexical	Archaic Lu2 A (witness)	Uruk III
P000092	CDLI Lexical Archaic Unidentified, ex. 017	Uruk (mod. Warka)	IM 023447,19	W 15895,at		CDLI Lexical Archaic Unidentified, ex. 017	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,at	Lexical	Archaic Unidentified (witness)	Uruk III
P000093	CDLI Lexical 000023, ex. 002	Uruk (mod. Warka)	IM 023447,20	W 15895,au		CDLI Lexical 000023, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 054, W 15895,au	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000094	CDLI Lexical Archaic Unidentified, ex. 018	Uruk (mod. Warka)	IM 023447,21	W 15895,av		CDLI Lexical Archaic Unidentified, ex. 018	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,av	Lexical	Archaic Unidentified (witness)	Uruk III
P000095	CDLI Lexical 000002, ex. 152	Uruk (mod. Warka)	IM 023447,22	W 15895,aw		CDLI Lexical 000002, ex. 152	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 15895,aw	Lexical	Archaic Lu2 A (witness)	Uruk III
P000096	CDLI Lexical Archaic Unidentified, ex. 019	Uruk (mod. Warka)	IM 023447,23	W 15895,ax		CDLI Lexical Archaic Unidentified, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,ax	Lexical	Archaic Unidentified (witness)	Uruk III
P000097	CDLI Lexical 000023, ex. 032	Uruk (mod. Warka)	IM 023447,24	W 15895,ay		CDLI Lexical 000023, ex. 032	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 058, W 15895,ay	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000098	CDLI Lexical 000023, ex. 038	Uruk (mod. Warka)	IM 023447,25 + VAT 17686	W 15895,az + W 15895,br		CDLI Lexical 000023, ex. 038	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 059, W 15895,az+	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000099	CDLI Lexical 000002, ex. 070	Uruk (mod. Warka)	VAT 21310	W 15895,ba		CDLI Lexical 000002, ex. 070	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,ba	Lexical	Archaic Lu2 A (witness)	Uruk III
P000100	CDLI Lexical 000030, ex. 001	Uruk (mod. Warka)	VAT 17652	W 15895,bb		CDLI Lexical 000030, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 044, W 15895,bb	Lexical	Archaic Tribute (witness)	Uruk III
P000101	CDLI Lexical 000002, ex. 081	Uruk (mod. Warka)	VAT 17691	W 15895,bc		CDLI Lexical 000002, ex. 081	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 15895,bc	Lexical	Archaic Lu2 A (witness)	Uruk III
P000102	CDLI Lexical 000002, ex. 071	Uruk (mod. Warka)	VAT 17640	W 15895,bd		CDLI Lexical 000002, ex. 071	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,bd	Lexical	Archaic Lu2 A (witness)	Uruk III
P000103	CDLI Lexical 000026, ex. 027	Uruk (mod. Warka)	VAT 17637	W 15895,be		CDLI Lexical 000026, ex. 027	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 072, W 15895,be	Lexical	Archaic Metal (witness)	Uruk III
P000104	CDLI Lexical 000023, ex. 052	Uruk (mod. Warka)	VAT 16921	W 15895,bf		CDLI Lexical 000023, ex. 052	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 061, W 15895,bf	Lexical	Archaic Vessels and Garments (witness)	Uruk III
P000105	CDLI Lexical 000002, ex. 153	Uruk (mod. Warka)	VAT 17661	W 15895,bi		CDLI Lexical 000002, ex. 153	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 15895,bi	Lexical	Archaic Lu2 A (witness)	Uruk III
P000106	CDLI Lexical 000002, ex. 001	Uruk (mod. Warka)	VAT 17583	W 15895,bk		CDLI Lexical 000002, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 001, W 15895,bk	Lexical	Archaic Lu2 A (witness)	Uruk III
P000107	CDLI Lexical 000002, ex. 154	Uruk (mod. Warka)	VAT 17723	W 15895,bm		CDLI Lexical 000002, ex. 154	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 15895,bm	Lexical	Archaic Lu2 A (witness)	Uruk III
P000108	CDLI Lexical 000002, ex. 143	Uruk (mod. Warka)	VAT 17692	W 15895,bn		CDLI Lexical 000002, ex. 143	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 020, W 15895,bn	Lexical	Archaic Lu2 A (witness)	Uruk III
P000109	CDLI Lexical 000002, ex. 091	Uruk (mod. Warka)	VAT 17676	W 15895,bo		CDLI Lexical 000002, ex. 091	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,bo	Lexical	Archaic Lu2 A (witness)	Uruk III
P000110	CDLI Lexical Archaic Unidentified, ex. 020	Uruk (mod. Warka)	VAT 17651	W 15895,bp		CDLI Lexical Archaic Unidentified, ex. 020	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,bp	Lexical	Archaic Unidentified (witness)	Uruk III
P000111	CDLI Lexical 000030, ex. 012	Uruk (mod. Warka)	VAT 16853	W 15895,bq		CDLI Lexical 000030, ex. 012	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 047, W 15895,bq	Lexical	Archaic Tribute (witness)	Uruk III
