𒚐	A~1
𒦋	|LAGAB~a×PA~a|~1
𒦌	|LAGAB~a×SI|~1
𒦍	|LAGAB~a×SIG₇|~1
𒦎	|LAGAB~a×SU~a|~1
𒦏	|LAGAB~a×ŠA|~1
󳂹	|LAGAB~a×ŠA|~2
󳂝	|LAGAB~a×ŠA|~3
𒦐	|LAGAB~a×ŠITA~a1|~1
󳂺	|LAGAB~a×ŠITA~a1|~2
𒦑	|LAGAB~a×TI|~1
󳂻	|LAGAB~a×TI|~2
𒦒	|LAGAB~a×U₄|~1
𒦓	|LAGAB~a×UB|~1
𒦔	|LAGAB~a×X|~1
󳂼	|LAGAB~a×X|~2
𒦕	|LAGAB~a×ZATU753|~1
󳂽	|LAGAB~a×ZATU753|~2
𒦖	|LAGAB~a×2(N14)|~1
󳀚	|LAGAB~a×1(N58)|~1
𒦗	LAGAB~b~1
𒦗.𒮹	|LAGAB~b.TE|~1
𒦘	|LAGAB~b×BANŠUR~a|~1
𒦙	|LAGAB~b×GAʾAR~a1|~1
𒦚	|LAGAB~b×HI|~1
󳀕	|LAGAB~b×(HI×1(N04))|~1
𒦛	|LAGAB~b×KUR~e|~1
𒦜	|LAGAB~b×PA~a|~1
󲶃	|LAGAB~b×SI|~1
𒦝	|LAGAB~b×SUH₃|~1
󲶂	|LAGAB~b×ŠITA~c|~1
𒦞	|LAGAB~b×U₄|~1
󲵻	|LAGAB~b×1(N01)|~1
𒦟	|LAGAB~b&LAGAB~b|~1
𒦠	LAGAR~a~1
𒦡	LAGAR~a@r~1
𒦢	LAGAR~b1~1
𒦣	LAGAR~b2~1
𒦤	LAGAR~c~1
󲣧	LAK025~1
󲣨	LAK050~1
󲣪	LAK251~1
󲣫	LAK350~1
󲣬	LAK777~1
𒦦	LAL₂~a~1
𒦧	|LAL₂~a×EZEN~a|~1
󳀿	|LAL₂~a×NAGA~a|~1
𒦨	|LAL₂~a×NIM~b2|~1
𒦩	LAL₂~b~1
𒦪	LAL₃~a~1
𒦫	LAL₃~b~1
󲣱	LAL₃~c~1
𒦬	LAM~a~1
𒦭	LAM~b~1
𒦱	LAM~b~2
𒦲	LAM~b~3
𒦮	LAM~b@r~1
𒦯	LAM~b@s~1
𒦰	LAM~b@t~1
𒦮	LAM~b@t~2
󲣹	LAM~c~1
𒦵	LIŠ~1
𒦹	LU₂~1
𒦶	LU₂~2
𒦸	LU₂~3
𒦷	|LU₂×GEŠTU~c3|~1
󲤀	LU₂@t~1
𒦺	LUGAL~1
𒦻	LUGAL~2
𒦼	LUM~1
𒦽	MA~1
𒧀	MA~2
𒧁	|MA×A|~1
𒦾	|MA×MA|~1
󲶎	|MA×X|~1
󲶋	|MA×2(N57)|~1
𒦿	|MA×1(N58)|~1
𒧂	MA₂~1
𒧃	MAGUR~a~1
𒧄	MAGUR~b~1
𒧅	MAH~a~1
𒧆	|MAH~a×AB₂|~1
𒧇	|MAH~a×GUKKAL~a|~1
𒧈	|MAH~a×KU₆~a|~1
𒧉	|MAH~a×MAŠ|~1
𒧊	|MAH~a×NA~a|~1
𒧋	|MAH~a×(SILA₃~a×UMBIN~a)|~1
𒧌	|MAH~a×TUG₂~a|~1
󳁀	|MAH~a×TUN₃~c|~1
𒧍	|MAH~a×UD₅~a|~1
𒧎	|MAH~a×UDU~a|~1
𒧏	|MAH~a×UR~a|~1
𒧐	|MAH~a×UTUA~a|~1
𒧑	|MAH~a×X|~1
𒧒	|MAH~a×ZATU659|~1
𒧓	MAH~b~1
𒧔	|MAH~b×KU₆~a|~1
𒧕	|MAH~b×MAŠ|~1
𒧖	|MAH~b×NA~a|~1
𒧗	|MAH~b×SAL|~1
𒧘	MAR~a~1
𒧚	MAR~a~2
𒧙	MAR~a@g~1
󳀜	MAR~a@g~2
󿿼	MAR~a@t~1
𒧛	MAR~b~1
󳀂	|MAR~b×GAR|~1
𒧜	|MAR~b×(LAGAB~b.ŠE₃)|~1
𒧝	|MAR~b×ŠE~a|~1
𒧞	|MAR~b×X|~1
𒧟	MAŠ~1
𒧠	MAŠ₂~1
𒧡	MAŠ₂@g~1
𒧢	ME~a~1
𒧣	ME~b~1
𒧤	ME₃~1
𒧥	MEN~a~1
𒧦	MEN~a~2
󳃫	MEN~a~3
𒧧	MEN~b~1
𒧨	MES~1
𒧩	MES~2
𒧪	MIR~a~1
𒧫	MIR~b~1
𒧬	MU~1
𒧭	MUD~1
𒧮	MUD~2
𒧯	MUD₃~a~1
𒧰	MUD₃~a@g~1
󳃞	MUD₃~a@g~2
󲶣	|MUD₃~a@g×GU|~1
𒧱	MUD₃~b~1
𒧲	MUD₃~c~1
𒧳	MUD₃~d~1
𒧴	MUL~1
𒧵	MUN~a1~1
󳃟	MUN~a1~2
𒧶	MUN~a2~1
󳂾	MUN~a2~2
𒧷	MUN~a3~1
𒧸	MUN~a4~1
𒧹	MUN~b~1
𒧺	MUNŠUB~a~1
𒧻	MUNŠUB~b~1
𒧼	MUNU₃~1
𒧾	MUŠ~1
𒧿	MUŠ₃~a~1
𒨂	MUŠ₃~a~2
𒨃	MUŠ₃~a~3
𒨀	MUŠ₃~a@g~1
𒨁	MUŠ₃~a@g~2
𒨄	MUŠ₃~b~1
𒨅	MUŠEN~1
󲶧	|MUŠEN×PAP~a|~1
𒨇	|MUŠEN×X|~1
𒨈	|MUŠEN×1(N57)|~1
𒨉	|MUŠEN×2(N57)|~1
𒨊	|MUŠEN×3(N57)|~1
󰄐.𒜘	|1(N57).BU₃|~1
󰄐.𒨅	|1(N57).MUŠEN|~1
󰄑.𒨅	|2(N57).MUŠEN|~1
󰄒.𒛜	|3(N57).AZ|~1
󰄒.𒟣	|3(N57).EN₂|~1
󰄒.𒪼	|3(N57).SANGA~a|~1
󰄒.𒫇	|3(N57).SI|~1
󰄖.𒡨	|7(N57).GAR|~1
𒸍	|1(N58).BAD|~1
𒸏	|(1(N58).BAD)~b|~1
𒸎	|(1(N58).BAD)~b|~2
𒸐	|3(N58).UR₃~b1|~1
𒨋	NA~a~1
𒨌	NA~b~1
𒨍	NA~c~1
𒨎	NA~d~1
𒨏	NA₂~a~1
𒨐	NA₂~a~2
𒨑	NA₂~b1~1
𒨒	NA₂~b2~1
󳁴	NA₂~c~1
𒨓	NAB~1
𒨔	NAB~2
𒨕	NAB~3
𒨖	NAGA~a~1
𒨗	|NAGA~a×TAK₄~a|~1
𒨘	NAGA~b~1
𒨙	NAGAR~a~1
𒨚	NAGAR~a~2
𒨛	NAGAR~a~3
𒨜	NAGAR~a~4
𒨝	NAGAR~b~1
𒨞	NAGAR~b~2
𒨟	NAM~a~1
𒨠	NAM~b~1
𒨡	NAM~c~1
𒨢	NAM~d~1
𒨣	NAM₂~1
󳃻	NAM₂~2
𒨤	|NAM₂×1(N01)|~1
𒨥	NAM₂@g~1
𒨦	NAM₂@t~1
𒨬	NANŠE~a~1
𒨭	NANŠE~b~1
𒨮	NAR~1
󳂟	NAR~2
𒨯	NE~a~1
𒨰	NE~a~2
𒨱	NE~a~3
󳂠	NE~a~4
𒨲	NE~b~1
𒨳	NE~c~1
󳄃	NE~c~2
𒨴	NE~d~1
𒨶	NESAG₂~a~1
󲥠	NESAG₂~a~2
󳁵	NESAG₂~a2~1
𒨷	NESAG₂~b~1
𒨹	NESAG₂~b~2
𒨸	NESAG₂~b@t~1
𒨺	NI~a~1
𒨼	|NI~a×1(N57)|~1
𒨽	NI~a@g~1
𒨾	NI~b~1
𒨿	|NI~b×X|~1
𒩀	|NI~b×4(N57)|~1
󳃀	|NI~b×4(N57)|~2
𒸌	|NI~b×8(N57)|~1
𒩁	NI₂~1
𒩂	NIGIN~1
𒩃	NIM~a~1
𒩄	NIM~b1~1
𒩅	NIM~b2~1
𒩆	NIM~b3~1
󳁶	NIM~d~1
𒩇	NIMGIR~1
𒩈	NIMGIR~2
𒩧	NINDA₂~1
𒩊	NINDA₂~2
𒩋	|NINDA₂×AN|~1
𒩌	|NINDA₂×(AN.HI)|~1
𒩍	|NINDA₂×(AN.ME~a)|~1
𒩎	|NINDA₂×(AN.X)|~1
𒩏	|NINDA₂×BA|~1
𒩐	|NINDA₂×EZEN~b|~1
𒩑	|NINDA₂×GAʾAR~a1|~1
𒩒	|NINDA₂×GAR|~1
𒩓	|NINDA₂×GIŠ|~1
󲶽	|NINDA₂×(GIŠ.DAR~a)|~1
𒩔	|NINDA₂×GU₄|~1
𒩚	|NINDA₂×GUDU₄|~1
𒩙	|NINDA₂×GUDU₄|~2
󲷁	|NINDA₂×GUDU₄|~3
󲷂	|NINDA₂×GUDU₄|~4
𒩕	|NINDA₂×HI|~1
𒩖	|NINDA₂×(HI.AN.ME~a)|~1
𒩗	|NINDA₂×(HI.ME~a)|~1
𒩘	|NINDA₂×(HI.X)|~1
𒩛	|NINDA₂×KAŠ~b|~1
󳁁	|NINDA₂×MAR~a|~1
𒩜	|NINDA₂×MAR~b|~1
󲷊	|NINDA₂×NE~a|~1
󳁂	|NINDA₂×NUN~a|~1
󲷋	|NINDA₂×ŠIM~a|~1
𒩝	|NINDA₂×U₄|~1
𒩞	|NINDA₂×(U₄.X)|~1
𒩟	|NINDA₂×(UDU~a×TAR~a)|~1
𒩠	|NINDA₂×(UDU~a×TAR~b)|~1
𒩡	|NINDA₂×X|~1
󲷑	|NINDA₂×(X.MAŠ)|~1
𒩢	|NINDA₂×(ZATU659×1(N01))|~1
󳁃	|NINDA₂×ZATU710|~1
𒩣	|NINDA₂×1(N01)|~1
𒩤	|NINDA₂×2(N01)|~1
󲶱	|NINDA₂×1(N06)|~1
𒩥	|NINDA₂×(1(N06).HI@g~a)|~1
𒩦	|NINDA₂×1(N08)|~1
𒩪	NIR~a~1
𒩫	|NIR~a×AN|~1
𒩬	NIR~b~1
𒩭	NU~1
𒩮	NU@g~1
󳃠	NU@g~2
𒩯	NU₁₁~1
𒩰	|NU₁₁&NU₁₁|~1
𒩱	NU₁₁@t~1
𒩲	NUMUN~1
𒩳	NUMUN₂~1
𒩴	NUN~a~1
𒩵	|NUN~a+A|~1
𒩶	|NUN~a+EN~a|~1
𒩷	|NUN~a+EN~b|~1
𒩸	|NUN~a+EN~d|~1
𒩹	|NUN~a+NAM₂|~1
𒩺	NUN~b~1
𒩺.𒯡	|NUN~b.U₄|~1
𒩻	|NUN~b+EN~a|~1
𒩼	NUN~c~1
𒩽	NUN~c~2
𒩾	NUN~c~3
𒩿	NUN~c~4
𒪀	NUN~d~1
𒪁	NUNUZ~a0~1
𒪂	NUNUZ~a1~1
𒪃	NUNUZ~a1@t~1
𒪄	NUNUZ~a2~1
𒪅	NUNUZ~b1~1
𒪆	NUNUZ~b2~1
𒪇	NUNUZ~c~1
𒪈	NUNUZ~c~2
𒪉	NUNUZ~c~3
𒪊	NUNUZ~c~4
𒪋	PA~a~1
𒪌	PA~a~2
𒪍	PA~a~3
𒪎	PA~b~1
𒪏	PAD~a~1
𒪐	PAD~b~1
𒪑	PAP~a~1
𒪓	PAP~b~1
𒪔	PAP~b~2
𒪒	PAP@t~1
󳁷	PAP@t~2
𒪕	PIRIG~a1~1
𒪖	PIRIG~a2~1
𒪗	PIRIG~a3~1
𒪘	PIRIG~b1~1
󳀘	|PIRIG~b1+DIN|~1
𒪙	|PIRIG~b1×UR₂|~1
󳁄	|PIRIG~b1×1(N58@t)|~1
𒪚	PIRIG~b2~1
𒪛	PU₂~1
󳃁	PU₂~2
󳂡	PU₂~3
𒪜	RA~1
𒪝	RAD~a~1
𒪞	RAD~a@g~1
𒪟	RAD~a@t~1
𒪠	RAD~b~1
󲦣	RI~1
󲦤	RI~x~1
𒪡	RI₈~a~1
𒪢	RI₈~b~1
󳀬	RI₈~b~2
𒪣	RU~1
𒪥	RU~2
𒪤	RU@t~1
𒪦	SA~a~1
𒪧	SA~c~1
𒪨	SA~c~2
𒪩	SAG~1
𒪮	SAG~2
𒪲	SAG~3
󳀑	|SAG+UKKIN~b×1(N57)|~1
𒪪	|SAG×GEŠTU~a|~1
𒪭	|SAG×GEŠTU~b|~1
𒪳	|SAG×GEŠTU~b|~2
𒪯	|SAG×GEŠTU~c|~1
󲷡	|SAG×LAM~c|~1
𒪰	|SAG×MA|~1
󳀐	|SAG×NAM₂|~1
󲷣	|SAG×SAR~a|~1
𒪱	|SAG×1(N14)|~1
𒪫	SAG@g~1
𒪬	SAG@n~1
𒪴	SAGŠU~1
𒪵	SAL~1
𒪵.𒧢	|SAL.ME~a|~1
𒪹	|SAL×1(N58)|~1
𒪺	SANGA~a~1
𒪻	SANGA~a~2
𒪼	SANGA~a~3
𒪽	SANGA~b~1
𒪾	SANGA~b~2
𒪼	SANGA~b~3
𒪿	SANGA~c~1
󳁤	SANGA~e~1
󳁥	SANGA~e~2
𒫀	SAR~a~1
𒫁	|SAR~a×ŠE~a|~1
𒫂	SAR~b~1
𒫃	SAR~c~1
󳁆	SAR~d~1
𒫄	SI~1
𒫇	SI~2
󳀌	|SI+AN|~1
󳁈	|SI×EN~a|~1
𒫅	|SI×GU₄|~1
󳁉	|SI×KU~b1|~1
󳁋	|SI×SAL|~1
𒫆	|SI×ŠE₃|~1
󳁌	|SI×TUN₃~a|~1
󳁇	|SI×1(N58)|~1
𒫈	SI₄~a~1
𒫉	SI₄~b~1
𒫊	SI₄~c~1
𒫋	SI₄~d~1
𒫌	SI₄~d~2
𒫍	SI₄~f~1
𒫎	SI₄~f~2
𒫏	SIG~1
󳁸	SIG~b~1
𒫐	SIG@g~1
𒫑	SIG₂~a1~1
𒫒	SIG₂~a2~1
󳃂	SIG₂~a2~2
󳂢	SIG₂~a2~3
𒫓	SIG₂~a3~1
𒫔	SIG₂~a3~2
𒫕	SIG₂~a3~3
𒫖	SIG₂~a4~1
𒫗	SIG₂~b~1
𒫘	|SIG₂~b×1(N14)|~1
𒫙	|SIG₂~b&SIG₂~b|~1
𒫚	SIG₂~c1~1
𒫛	SIG₂~c2~1
𒫜	SIG₂~d1~1
𒫝	SIG₂~d2~1
𒫞	SIG₂~d2~2
𒫟	SIG₂~d3~1
𒫠	SIG₂~d4~1
𒫡	SIG₂~e~1
𒫢	SIG₄~1
𒫣	SIG₇~1
𒫤	SIG₇~2
𒫥	SILA₃~a~1
𒫦	|SILA₃~a×A|~1
𒫧	|SILA₃~a×AMAR|~1
𒬉	|SILA₃~a×DUG~a|~1
𒫨	|SILA₃~a×DUG~a|~2
󲸑	|SILA₃~a×DUG~b|~1
𒫩	|SILA₃~a×GA~a|~1
𒫪	|SILA₃~a×GARA₂~a|~1
𒫫	|SILA₃~a×GEŠTU~a|~1
𒫬	|SILA₃~a×GEŠTU~c3|~1
𒫭	|SILA₃~a×GEŠTU~c5|~1
𒫮	|SILA₃~a×HAŠHUR|~1
𒫯	|SILA₃~a×HI|~1
𒫰	|SILA₃~a×HI@g~a|~1
𒫱	|SILA₃~a×IB~a|~1
𒫲	|SILA₃~a×KAŠ~a|~1
𒫳	|SILA₃~a×KAŠ~c|~1
𒫴	|SILA₃~a×KAŠ~d|~1
𒫵	|SILA₃~a×KU₆~a|~1
𒫶	|SILA₃~a×KUR~a|~1
𒫷	|SILA₃~a×MA|~1
𒫸	|SILA₃~a×MAŠ|~1
󳁊	|SILA₃~a×MUD₃~b|~1
𒫹	|SILA₃~a×NAGA~a|~1
𒫺	|SILA₃~a×NI~a|~1
𒫻	|SILA₃~a×NUN~b|~1
𒫼	|SILA₃~a×SUHUR|~1
𒫽	|SILA₃~a×SUM~a|~1
𒫾	|SILA₃~a×SUM~b|~1
𒫿	|SILA₃~a×ŠE~a|~1
𒬀	|SILA₃~a×ŠE~a@t|~1
𒬁	|SILA₃~a×ŠU|~1
𒬂	|SILA₃~a×ŠU₂|~1
𒬃	|SILA₃~a×X|~1
𒬄	|SILA₃~a×ZATU629|~1
𒬅	|SILA₃~a×ZATU646|~1
𒬆	|SILA₃~a×(ZATU659.TU~c)|~1
𒬇	|SILA₃~a×1(N57)|~1
𒬈	|SILA₃~a×1(N58)|~1
𒬊	SILA₃~b~1
󲸰	|SILA₃~b×DUG~a|~1
𒬋	|SILA₃~b×GUG₂|~1
𒬌	|SILA₃~b×NAGA~b|~1
𒬏	|SILA₃~b×NI~a|~1
𒬍	|SILA₃~b×NI~b|~1
𒬎	SILA₃~c~1
𒬐	|SILA₃~c×ŠU|~1
𒬑	|SILA₃~c×ZATU687|~1
𒬒	|SILA₃~d×NI~a|~1
𒬓	SILA₄~a~1
𒬔	SILA₄~b~1
𒬕	SILA₄~c~1
𒬖	SILA₄~d~1
𒬗	SILANITA~1
𒬘	SIMUG~1
𒬙	SIMUG~2
𒬛	SU~a~1
𒬝	SU~a~2
𒬜	|SU~a×1(N58)|~1
𒬞	SU~b~1
󳁹	SU~c~1
𒬟	SU₃~1
𒬠	SUG~1
𒬡	SUG₅~1
𒬢	SUH₃~1
𒬣	SUHUR~1
󳁘	SUHUR~2
󳄇	SUHUR~3
󳄈	SUHUR~4
𒬤	SUHUR@g~1
𒬥	SUHUR@n~1
󳁙	SUHUR@t~1
𒬦	SUKKAL~1
󳃄	SUKKAL~2
𒬧	SUKUD~1
𒬨	|(SUKUD+SUKUD)~a|~1
𒬩	|(SUKUD+SUKUD)~b|~1
󲸻	|(SUKUD+SUKUD)~c|~1
𒬪	|(SUKUD+SUKUD)~d|~1
𒬫	SUKUD@g~a~1
󳃸	SUKUD@g~a~2
𒬬	SUKUD@g~b~1
𒬭	SUKUD@g~b~2
𒬮	SUKUD@g~c~1
𒬯	SUKUD@g~d~1
󳀍	SUKUD@h~1
𒬰	SUM~a~1
𒬲	SUM~a~2
󳃅	SUM~a~3
󳂣	SUM~a~4
𒬱	SUM~a@t~1
𒬳	SUM~b~1
𒬴	SUMAŠ~1
𒬵	SUR~1
𒬻	ŠA~1
𒬼	ŠA~2
𒬷	ŠA~3
󳄅	ŠA~4
𒬸	|(ŠA×HI@g~a)~a|~1
𒬹	|(ŠA×HI@g~a)~b|~1
𒬺	ŠA@g~1
𒬽	ŠA₃~a1~1
󳂤	ŠA₃~a1~2
𒬾	ŠA₃~a2~1
󳂥	ŠA₃~a2~2
󳁅	ŠA₃~a2@g~1
𒬿	ŠA₃~b~1
𒭀	ŠA₃~c~1
𒭁	ŠA₃~d~1
𒭆	ŠAGAN~1
𒭇	ŠAGAN~2
𒭈	ŠAGINA~1
𒭉	ŠAH₂~a~1
𒭊	ŠAH₂~b~1
𒭋	ŠAH₂~c~1
𒭌	ŠAKIR~a~1
𒭍	ŠAKIR~b~1
𒭎	ŠAKIR~c~1
󳃇	ŠAKIR~c~2
𒭏	ŠAM₂~1
󳃈	ŠAM₂~2
𒭒	ŠE~a~1
󳁛	|ŠE~a.GAR|~1
󳁚	|ŠE~a.GAR|~2
𒭖	|ŠE~a&ŠE~a|~1
𒭗	ŠE~a@t~1
𒭘	ŠE~b~1
𒭙	ŠE~c~1
𒭚	ŠE₃~1
𒭜	ŠE₃~2
𒭛	ŠE₃@t~1
𒭝	ŠE₃@t~2
󳃭	ŠE₃@t~3
𒭞	ŠEG₉~1
󳃊	ŠEG₉~2
𒭟	ŠELU~1
𒭠	ŠEN~a~1
𒭡	ŠEN~a~2
𒭢	ŠEN~b~1
𒭣	ŠEN~b~2
𒭤	ŠEN~c~1
󳃋	ŠEN~c~2
𒭥	ŠEN~c@t~1
𒭦	ŠEN~d~1
𒭨	ŠEN~d~2
𒭩	ŠEN~d~3
𒭧	|ŠEN~d×A|~1
𒭪	ŠEN~e~1
𒭫	ŠENNUR~a~1
𒭬	ŠENNUR~b~1
𒭭	ŠEŠ~a~1
𒭮	ŠEŠ~a~2
𒭯	ŠEŠ~b~1
𒭰	ŠIDIM~1
𒭱	ŠIDIM@t~1
𒭲	ŠIM~a~1
𒭳	ŠIM~a~2
𒭴	ŠIM~a~3
𒭵	ŠIM~b~1
𒭶	ŠIR~a~1
𒭷	ŠIR~a~2
𒭸	ŠIR~b~1
𒭹	ŠIR~b~2
𒭺	ŠIR~b~3
𒭻	ŠITA~a1~1
𒭼	|ŠITA~a1×KAK~a|~1
𒭽	|ŠITA~a1×ŠU|~1
𒭾	|ŠITA~a1×ŠU₂|~1
𒭿	|ŠITA~a1×UDU~a|~1
𒮀	|ŠITA~a1×1(N06)|~1
𒮂	ŠITA~a2~1
𒮃	ŠITA~a3~1
𒮄	ŠITA~b1~1
𒮆	ŠITA~b2~1
𒮇	|ŠITA~b2@g×HI@g~a|~1
𒮈	ŠITA~b3~1
𒮉	|ŠITA~b3×NAM₂|~1
󲨀	ŠITA~c~1
𒮅	ŠITA@g~a~1
𒮊	ŠITA@g~a~2
𒮋	|ŠITA@g~a×1(N04)|~1
𒮌	|ŠITA@g~a×1(N06)|~1
𒮁	ŠITA@g~b~1
𒮍	ŠU~1
𒮎	|ŠU×1(N58)|~1
𒮏	|ŠU&ŠU|~1
𒮐	ŠU@g~1
󲨆	ŠU@s~1
𒮑	ŠU₂~1
𒮘	ŠU₂~2
󳃼	ŠU₂~3
󳃍	ŠU₂~4
󳂐	ŠU₂~5
󳀒	|ŠU₂×3(N57)|~1
𒮝	ŠU₁₂~1
𒮞	ŠUBUR~1
𒮟	ŠUM~1
󳀗	|ŠUR₂×1(N58)|~1
𒮠	ŠUR₂~a~1
𒮡	ŠUR₂~b~1
󳁻	ŠUR₂~c~1
𒮦	TA~a~1
𒮧	TA~b~1
𒮨	TA~c~1
𒮩	TA~d~1
𒮪	|TA~d×MAŠ|~1
𒮫	TA~e~1
󲩙	TA~f~1
𒮬	TAG~a1~1
𒮭	TAG~a1@t~1
𒮮	TAG~a2~1
𒮯	TAG~a3~1
𒮰	TAG~a4~1
𒮱	TAG~b~1
󳃎	TAG~b~2
𒮲	TAG~c~1
𒮳	TAG~d~1
𒮶	TAK₄~a~1
𒮴	TAK₄~a~2
𒮵	TAK₄~a@n~1
𒮷	TAK₄~c~1
𒮸	TAR~a~1
󲩧	TAR~d~1
𒮹	TE~1
𒮺	TI~1
𒮾	TI~2
𒮻	TI@g~1
𒮼	TI@r~1
𒮽	TI@t~1
𒯀	TILLA₂~1
𒯁	TU~a~1
𒯂	TU~b~1
𒯃	TU~c~1
𒯄	TUG₂~a~1
󳃏	TUG₂~a~2
󳂧	TUG₂~a~3
𒯆	TUG₂~a@g~1
𒯇	TUG₂~a@g~2
𒯈	TUG₂~b~1
𒯉	TUG₂~c~1
𒯊	TUG₂~d~1
𒯋	TUM~a~1
𒯌	TUM~a@g~1
𒯍	TUM~b~1
𒯎	TUM~c~1
󳃡	TUM~c~2
𒯏	TUM~d~1
𒯐	TUN₃~a~1
𒯑	TUN₃~b~1
𒯒	TUN₃~c~1
𒯓	TUR~1
𒯕	TUR~2
𒯖	TUR~3
𒯗	TUR~4
󲸿	|TUR×X|~1
𒯔	TUR@g~1
󳃢	TUR@g~2
𒯘	TUR₃~a~1
𒯙	TUR₃~a@n~1
𒯚	TUR₃~b~1
󲹀	|TUR₃~b×TAK₄~a|~1
𒯛	TUR₃~c~1
𒯜	U₂~a~1
𒯝	U₂~b~1
𒯞	U₂~b~2
𒯟	U₂~b~3
𒯠	U₂~c~1
𒯡	U₄~1
𒯡.𒕢.𒕙	|U₄.1(N14).1(N08)|~1
𒯱	|U₄×X|~1
𒯲	|U₄×(X+2(N01))|~1
𒯳	|U₄×1(N01)|~1
󳀇	|U₄×(1(N01).1(N24))|~1
𒯵	|U₄×2(N01)|~1
𒯹	|U₄×3(N01)|~1
𒯻	|U₄×4(N01)|~1
𒯽	|U₄×5(N01)|~1
𒯿	|U₄×6(N01)|~1
𒰀	|U₄×8(N01)|~1
𒰂	|U₄×N(N01)|~1
󲹃	|U₄×1(N01@f)|~1
𒰃	|U₄×1(N14)|~1
󳀈	|U₄×(1(N14).1(N01))|~1
𒰄	|U₄×(1(N14).2(N01))|~1
󳂔	|U₄×(1(N14).3(N01))|~1
𒰅	|U₄×(1(N14).4(N01))|~1
𒰆	|U₄×(1(N14).8(N01))|~1
𒰇	|U₄×2(N14)|~1
𒰈	|U₄×(2(N14).4(N01))|~1
𒰉	|U₄×(3(N14).2(N01))|~1
𒰊	|U₄×(3(N14).7(N01))|~1
𒰋	|U₄×1(N57)|~1
𒰌	|U₄×2(N57)|~1
𒰍	|U₄×3(N57)|~1
𒰎	|U₄×4(N57)|~1
𒰏	|U₄×5(N57)|~1
𒰐	|U₄×6(N57)|~1
𒰑	|U₄×7(N57)|~1
𒰒	|U₄×8(N57)|~1
𒰓	|U₄×10(N57)|~1
𒰔	|U₄×1(N58@t)|~1
𒰕	U₄@t~1
𒰖	U₈~1
𒰘	U₈~2
𒰙	U₈~3
𒰚	U₈~4
𒰗	|U₈×TAR~b|~1
𒰛	UB~1
𒰜	UBI~a~1
𒰝	UBI~c~1
𒰞	UBI~c~2
󳁎	UBI~d~1
𒰟	UD₅~a~1
𒰡	UD₅~a~2
𒰢	UD₅~a~3
𒰠	UD₅~a@g~1
𒰣	UD₅~b~1
𒰤	UD₅~c~1
𒰥	UDU~a~1
𒰦	|UDU~a×TAR~a|~1
𒰧	|UDU~a×TAR~b|~1
𒰨	UDU~b~1
𒰩	UDU~c~1
𒰪	UDUNITA~a~1
𒰫	UDUNITA~b~1
𒰬	UDUNITA~c~1
𒰭	UH~1
𒰮	UH₃~a~1
𒰯	UH₃~a@t~1
𒰰	UH₃~b~1
𒰲	UKKIN~a~1
𒰱	UKKIN~a~2
𒰼	UKKIN~b~1
𒰳	UKKIN~b~2
󳃐	UKKIN~b~3
𒰴	|UKKIN~b×DIN|~1
𒰵	|UKKIN~b×(DIN.1(N01))|~1
󲹽	|UKKIN~b×DUG~a|~1
𒰶	|UKKIN~b×HI@g~a|~1
𒰷	|UKKIN~b×NI~a|~1
𒰸	|UKKIN~b×X|~1
𒰹	|UKKIN~b×2(N01)|~1
𒰺	|UKKIN~b×3(N01)|~1
𒰻	|UKKIN~b×5(N01)|~1
𒰽	UKKIN~c~1
󳁽	UKKIN~d~1
𒰾	UMBIN~a~1
𒰿	UMBIN~b1~1
𒱀	UMBIN~b2~1
𒱁	UMBIN~c~1
𒱃	UMUN₂~1
𒱂	UMUN₂~2
𒱆	UNUG~a~1
𒱄	UNUG~a~2
𒱇	|UNUG~a×A@t|~1
𒱅	UNUG~a@s~1
𒱈	UNUG~b~1
𒱉	UNUG~c~1
𒱊	UR~a~1
𒱋	|UR~a×KAR₂~b|~1
𒱌	UR~a@g~1
𒱍	UR~b~1
𒱎	UR~c~1
𒱏	UR₂~1
𒱐	|UR₂×TAR~c|~1
𒱑	|UR₂×1(N57)|~1
𒱒	UR₃~a1~1
𒱓	UR₃~a1~2
𒱔	UR₃~a2~1
𒱕	UR₃~a3~1
𒱖	UR₃~b1~1
𒱗	|UR₃~b1×MAŠ|~1
𒱘	UR₃~b2~1
󳁾	UR₃~d2~1
𒱙	UR₄~a~1
𒱚	UR₄~b~1
𒱛	UR₄~c~1
𒱜	UR₅~a~1
𒱝	UR₅~b~1
𒱞	URI~1
𒱟	URI₃~a~1
𒱠	URI₃~a~2
𒱢	URI₅~1
𒱣	URU~a1~1
󲺉	|URU~a1×A|~1
𒱤	|URU~a1×AMAR|~1
𒱥	|URU~a1×GU₄|~1
𒱦	|URU~a1×HI@g~a|~1
󳀛	|URU~a1×KI|~1
𒱧	|URU~a1×NIMGIR|~1
𒱨	|URU~a1×U₄|~1
𒱩	|URU~a1×X|~1
󳁏	|URU~a1×3(N57)|~1
𒱬	URU~a1@n~1
𒱭	URU~a2~1
𒱮	|URU~a2×1(N58)|~1
𒱯	|URU~a3×KALAM~a|~1
𒱰	URU~b1~1
𒱱	URU~b2~1
𒱲	URU~c~1
𒱳	URUDU~a~1
𒱴	URUDU~a~2
𒱵	URUDU~a~3
𒱶	URUDU~c~1
𒱷	URUDU~d~1
𒱸	URUDU@g~a~1
