id_text	accession_no	accounting_period	acquisition_history	alternative_years	ark_number	atf_source	atf_up	author	author_remarks	cdli_collation	cdli_comments	citation	collection	composite_id	condition_description	date_entered	date_of_origin	date_remarks	date_updated	dates_referenced	db_source	designation	dumb	dumb2	electronic_publication	elevation	excavation_no	external_id	findspot_remarks	findspot_square	genre	google_earth_collection	google_earth_provenience	height	id	id_text2	id_text_int	join_information	language	lineart_up	material	museum_no	object_preservation	object_type	period	period_remarks	photo_up	primary_publication	provenience	provenience_remarks	publication_date	publication_history	published_collation	seal_id	seal_information	stratigraphic_level	subgenre	subgenre_remarks	surface_preservation	text_remarks	thickness	translation_source	width	object_remarks
P000011					21198/zz001q0f58	Englund, Robert K.		CDLI	66x56x24; Lú A + Metal 3-8.15-21.?-? + 44-50.57-62; Fundstelle wie W 11985,e; ""Lú A befindet sich auf der Vs., Metal auf der Rs.				Vorderasiatisches Museum, Berlin, Germany	Q000002, Q000026		12/4/2001	00.00.00.00		10/20/2018	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000002, ex. 017 & 000026, ex. 054					W 11986,a		+19.50 m, 3 m nordwestlich vom Festpunkt 19.60	Pb XVII,1	Lexical			66	11	0	11		undetermined	150ppi 20160630	clay	VAT 17685		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000002, ex. 017 & 000026, ex. 054	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 11986,a					Archaic Lu2 A (witness); Archaic Metal (witness)				24	no translation	56		
P000012					21198/zz001q0f6s	Englund, Robert K.		CDLI	41x31x14; Lú A 65-66.71-72.93.86-88 mit Kolophon; Fundstelle wie W 11985,e.				Vorderasiatisches Museum, Berlin, Germany	Q000002		12/4/2001	00.00.00.00		10/20/2018	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000002, ex. 136					W 11986,c		+19.50 m, 3 m nordwestlich vom Festpunkt 19.60	Pb XVII,1	Lexical			41	12	0	12		undetermined	150ppi 20160630	clay	VAT 17619		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000002, ex. 136	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 019, W 11986,c					Archaic Lu2 A (witness)				14	no translation	31		
P000013					21198/zz001q0f79	Englund, Robert K.		CDLI	30x38x16; Unidentified 2; Fundstelle wie W 11985,e.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 004					W 11988,d		+19.00 m, 7 m südwestlich vom Festpunkt 19.60	Pb XVII,1	Lexical			30	13	0	13		undetermined	150ppi 20160630	clay	VAT 17729		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 004	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 11988,d					Archaic Unidentified (witness)				16	no translation	38		
P000014					21198/zz001q0f8t	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	76x51x15; Swine 1-58 mit Kolophon; Oe XVI,4, +19.80 m, über der Tempelmauer von IVa, südwestlich vom Labyrinth; veröffentlicht in: UVB 6; Tafel gedreht um die vertikale Achse.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			1/26/2020		20011204 protocuneiform_catalogue	ATU 3, pl. 036, W 12139					W 12139		+19.80 m, über der Tempelmauer von IVa, südwestlich vom Labyrinth	Oe XVI,4	Lexical			76	14	0	14		undetermined	150ppi 20160630	clay	VAT 16773		tablet	Uruk III (ca. 3200-3000 BC)			ATU 3, pl. 036, W 12139	Uruk (mod. Warka)		1993	UVB 6; R. Englund, Fs Boehmer (Mainz 1995) 130 fig. 6; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 173 fig. 63					Archaic Pigs (witness)	Text category: 06.01; Text commentary: 01-58 KOL; Foreign ID: L$U A			15	no translation	51		
P000015					21198/zz001q0f9b	Englund, Robert K.		CDLI	101x99x30; Vessels Vorläufer; Oe XVI,5, 1 m über der Hofmauerkante, 50 cm davor; veröffentlicht in: ATU 2, Taf. 46; die Tafel enthält einen Vorläufer der Liste ""Vessels auf der Vs., der Liste Metal auf der Rs., die Angabe der Breite hat eine 7-spaltige				Vorderasiatisches Museum, Berlin, Germany	Q000023		12/4/2001	00.00.00.00		1/26/2020	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000023, ex. 091					W 12256,i + W 12256,k + W 12256,l + W 12256,o		1 m über der Hofmauerkante IVa, 50 cm davor	Oe XVI,5	Lexical			101	15	0	15	P000015 lead, single entry	undetermined	150ppi 20160630	clay	VAT 17858 + VAT 17886		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000023, ex. 091	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 066, W 12256,i+; ATU 2, plate 46					Archaic Vessels & Garments (witness)				30	no translation	99		
P000019					21198/zz001q0ffd	Englund, Robert K.		CDLI	25x25x17; Lú A 7-8.?-?; Od/e XVI,5, +20.07 m.				Vorderasiatisches Museum, Berlin, Germany	Q000002		12/4/2001	00.00.00.00		10/20/2018	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000002, ex. 038					W 13662,c1		+20.07 m	Od/e XVI,5	Lexical			25	16	0	19		undetermined	150ppi 20160630	clay	VAT 17630		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000002, ex. 038	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 007, W 13662,c1					Archaic Lu2 A (witness)				17	no translation	25		
P000020					21198/zz001q0fgx	Englund, Robert K.		CDLI	39x24x20; Unidentified 3; Fundstelle wie W 13662,c.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 005					W 13662,v1		+20.07 m	Od/e XVI,5	Lexical			39	17	0	20		undetermined	150ppi 20160630	clay	VAT 17699		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 005	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 13662,v1					Archaic Unidentified (witness)				20	no translation	24		
P000021					21198/zz001q0fhf	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	42x43x20; Vocabulary 1; Pc XVII,4, +ca. 17.20 m, beim Fundort der Löwenjagdstele.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			1/26/2020		20011204 protocuneiform_catalogue	ATU 3, pl. 080, W 13948					W 13948		+ca.17.20 m, beim Fundort der Löwenjagdstele	Pc XVII,4	Lexical			42	18	0	21		undetermined	150ppi 20160630	clay	VAT 16972		tablet	Uruk III (ca. 3200-3000 BC)			ATU 3, pl. 080, W 13948	Uruk (mod. Warka)		1993						Archaic Vocabulary (witness)	Text category: 15-01; Foreign ID: LVO 1			20	no translation	43		
P000022					21198/zz001pzm1r	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	45x52x21; Practice 2; Od XVI,5, dicht über den Lehmziegeln des Hofes von IVa.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			1/26/2020		20011204 protocuneiform_catalogue	ATU 3, pl. 082, W 13982					W 13982		dicht über den Lehmziegeln des Hofes von IVa	Od XVI,5	Lexical			45	19	0	22		undetermined	150ppi 20160630	clay	VAT 16741		tablet	Uruk III (ca. 3200-3000 BC)			ATU 3, pl. 082, W 13982	Uruk (mod. Warka)		1993	Frühe Schrift p. 148, no. 15.4; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 85 fig. 23 (false as BM 128990); Woods, Christpher, OIMP 32 (2015) 042 & 075					Archaic Practice (witness)	Text category: 16-02; Foreign ID: LSL 2			21	no translation	52		
P000023					21198/zz001pzm28	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	62x57x17; Vocabulary 2; Pb XVII,3, +18.00 m, Schutt über Riemchen unter neubabylonischen Häusern.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			1/26/2020		20011204 protocuneiform_catalogue	ATU 3, pl. 080, W 14264					W 14264		+18.00 m, Schutt über Riemchen unter neubabylonischen Häusern	Pb XVII,3	Lexical			62	20	0	23		undetermined	150ppi 20160630	clay	VAT 16759		tablet	Uruk III (ca. 3200-3000 BC)			ATU 3, pl. 080, W 14264	Uruk (mod. Warka)		1993						Archaic Vocabulary (witness)	Text category: 15-02; Foreign ID: LVO 2			17	no translation	57		
P000024					21198/zz001pzm3s	Englund, Robert K.		CDLI	33x28x16; Unidentified 4; Od XVI,5, ca. +20.20 m, in Raum von III.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 006					W 14335,c		ca 20.20 m, in Raum von III	Od XVI,5	Lexical			33	21	0	24		undetermined	150ppi 20160630	clay	VAT 17588		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 006	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 14335,c					Archaic Unidentified (witness)				16	no translation	28		
P000025					21198/zz001pzm49	Englund, Robert K.		Englund, Robert K. & Nissen, Hans J.	99x92x33; Vocabulary 3; Fundstelle wie W 14335,c; veröffentlicht in: ATU 2, Taf. 49.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			1/26/2020		20011204 protocuneiform_catalogue	ATU 3, pl. 080, W 14337,a+					W 14337,a + W 14337,b + W 14337,c + W 14337,d + W 14337,e		ca 20.20 m, in Raum von III	Od XVI,5	Lexical			99	22	0	25	P000025 lead, single entry	undetermined	150ppi 20160630	clay	VAT 16912		tablet	Uruk III (ca. 3200-3000 BC)			ATU 3, pl. 080, W 14337,a+	Uruk (mod. Warka)		1993	ATU 2, pl. 049					Archaic Vocabulary (witness)	Text category: 15-03; Foreign ID: LVO 3			33	no translation	92		
P000030					21198/zz001pzm9w	Englund, Robert K.		CDLI	47x32x?; Lú A 3-6; in plankonvexem Ziegel des Zingels südwestlich der Ziqqurat; Tafel zur Zeit im Vorderasiatischen Museum, Berlin, nicht auffindbar.				Vorderasiatisches Museum, Berlin, Germany	Q000002		12/4/2001	00.00.00.00		10/20/2018	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000002, ex. 018					W 14497		in plankonvexem Ziegel des Zingels südwestlich der Ziqqurat	?	Lexical			47	23	0	30		undetermined	150ppi 20160630	clay	VA — ?		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000002, ex. 018	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 14497					Archaic Lu2 A (witness)				0	no translation	32		
P000031					21198/zz001pzmbd	Englund, Robert K.		CDLI	39x50x?; Lú A ?-?.24-30.44-48; Pb XVII,2, +19.50 m, im Füllschutt des Hauses aus Riemchen; Tafel zur Zeit im Vorderasiatischen Museum, Berlin, nicht auffindbar.				Vorderasiatisches Museum, Berlin, Germany	Q000002		12/4/2001	00.00.00.00		10/20/2018	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000002, ex. 078					W 14551,a + W 14551,b ?		+19.50 m, im Füllschutt des Hauses aus Riemchen, cf.14568	Pb XVII,2	Lexical			39	24	0	31	P000031 lead, single entry	undetermined	150ppi 20160630	clay	VA — ?		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000002, ex. 078	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 14551,a+					Archaic Lu2 A (witness)				0	no translation	50		
P000033					21198/zz001pzmdf	Englund, Robert K.		CDLI	23x26x?; Lú A 89-91; Od XVI,4/5, +20 m; Tafel zur Zeit im Vorderasiatischen Museum, Berlin, nicht auffindbar; das zweite Zeichen im ersten Fach ist wohl nicht BA.				Vorderasiatisches Museum, Berlin, Germany	Q000002		12/4/2001	00.00.00.00		10/20/2018	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000002, ex. 151					W 14638		+20 m	Od XVI,4/5	Lexical			23	25	0	33		undetermined	150ppi 20160630	clay	VA — ?		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000002, ex. 151	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 14638					Archaic Lu2 A (witness)				0	no translation	26		
P000034					21198/zz001pzmfz	Englund, Robert K.		CDLI	35x24x?; Unidentified 5; Od XVI,5, +20 m, unter den gebrannten Ziegeln des späten Baues der Schicht III.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 007					W 14731,x		+20 m, unter den gebrannten Ziegeln des späten Baues der Schicht III	Od XVI,5	Lexical			35	26	0	34		undetermined	150ppi 20160630	clay	VA — ?		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 007	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 14731,x					Archaic Unidentified (witness)				0	no translation	24		
P000035					21198/zz001pzmgg	Englund, Robert K.		CDLI	61x62x?; Fish 19-23.30-38.41-49.91-97 mit Kolophon; Oe XVI,3, +19.70 m; Tafel zur Zeit im Vorderasiatischen Museum, Berlin, nicht auffindbar.				Vorderasiatisches Museum, Berlin, Germany	Q000013		12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical 000013, ex. 008					W 14777,b		+19.70 m	Oe XVI,3	Lexical			61	27	0	35		undetermined	150ppi 20160630	clay	VAT 16828		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000013, ex. 008	Uruk (mod. Warka)		2015ff	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 032, W 14777,b					Archaic Fish (witness)				0	no translation	62		
P000036					21198/zz001pzmh0	Englund, Robert K.		CDLI	64x54x33; Grain Vorläufer; Pa XVI,2, +19.20 m, 5 cm über Riemchenmauer der älteren Periode der III-Schicht, vor Ziqqurat.				Vorderasiatisches Museum, Berlin, Germany	Q000028		12/4/2001	00.00.00.00		10/20/2018	00.00.00.00	20011204 protocuneiform_catalogue	CDLI Lexical 000028, ex. 01					W 15085		+19.20 m, 5 cm über Riemchenmauer der älteren Periode der III Schicht, vor Ziqqurat	Pa XVI,2	Lexical			64	28	0	36		undetermined	150ppi 20160630	clay	VAT 16945		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical 000028, ex. 01	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 15085, 					Archaic Grain (witness)				33	no translation	54		
P000037					21198/zz001pzmjh	Englund, Robert K.		CDLI	46x28x18; Unidentified 5x; Nb/c XVI,4, Seleukidenmauer-Schnitt Westhälfte.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 008					W 15772,l		Seleukidenmauer Schnitt Westhälfte	Nb/c XVI,4	Lexical			46	29	0	37		undetermined	150ppi 20160630	clay	VAT 16902		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 008	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15772,l					Archaic Unidentified (witness)				18	no translation	28		
P000038					21198/zz001pzmk1	Englund, Robert K.		CDLI	33x22x16; Unidentified 6; Fundstelle wie W 15772,l.				National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 009					W 15773,c		Seleukidenmauer Schnitt Westhälfte	Nb/c XVI,4	Lexical			33	30	0	38		undetermined	150ppi 20160630	clay	IM 023436,14		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 009	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,c					Archaic Unidentified (witness)				16	no translation	22		
P000039					21198/zz001pzmmj	Englund, Robert K.		CDLI	42x43x21; Unidentified 7; Fundstelle wie W 15772,l.				National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 010					W 15773,q		Seleukidenmauer Schnitt Westhälfte	Nb/c XVI,4	Lexical			42	31	0	39		undetermined	150ppi 20160630	clay	IM 023436,04		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 010	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,q					Archaic Unidentified (witness)				21	no translation	43		
P000040					21198/zz001pzmn2	Englund, Robert K.		CDLI	30x37x28; Unidentified 8; Fundstelle wie W 15772,l.				National Museum of Iraq, Baghdad, Iraq			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 011					W 15773,t		Seleukidenmauer Schnitt Westhälfte	Nb/c XVI,4	Lexical			30	32	0	40		undetermined	150ppi 20160630	clay	IM 023436,06		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 011	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,t					Archaic Unidentified (witness)				28	no translation	37		
P000041					21198/zz001pzmpk	Englund, Robert K.		CDLI	29x37x18; Unidentified 9; Fundstelle wie W 15772,l.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	CDLI Lexical Archaic Unidentified, ex. 012					W 15774,q		Seleukidenmauer Schnitt Westhälfte	Nb/c XVI,4	Lexical			29	33	0	41		undetermined	150ppi 20160630	clay	VAT 17662		tablet	Uruk III (ca. 3200-3000 BC)			CDLI Lexical Archaic Unidentified, ex. 012	Uruk (mod. Warka)		2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15774,q					Archaic Unidentified (witness)				18	no translation	37		
