pcsl	cdli	cdli_fixed_flag	recommendation	encoding_status	unicode_codepoint	unicode_name
|GA₂~a3×X|	|GA2~a3xX|	False	keep	proposed	1283F	PROTO-CUNEIFORM SIGN GA2-A3 TIMES X
GA₂~a4	GA2~a4	False	keep	proposed	12840	PROTO-CUNEIFORM SIGN GA2-A4
GA₂~b	GA2~b	False	keep	proposed	12841	PROTO-CUNEIFORM SIGN GA2-B
|GA₂~b×DUB~a|	|GA2~bxDUB~a|	False	keep	proposed	12842	PROTO-CUNEIFORM SIGN GA2-B TIMES DUB-A
|GA₂~b×DUB~b~v2|	|GA2~bxDUB~b|	False	rename	proposed	12843	PROTO-CUNEIFORM SIGN GA2-B TIMES DUB-B VARIANT 2
|GA₂~b×KU₃~a|	|GA2~bxKU3~a|	False	keep	proposed	12844	PROTO-CUNEIFORM SIGN GA2-B TIMES KU3-A
|GA₂~b×ZATU659|	|GA2~bxZATU659|	False	keep	proposed	12845	PROTO-CUNEIFORM SIGN GA2-B TIMES ZATU659
GA₂~c	GA2~c	False	keep	proposed	12846	PROTO-CUNEIFORM SIGN GA2-C
GAʾAR~a1	GA’AR~a1	False	keep	proposed	12847	PROTO-CUNEIFORM SIGN GAAR-A1
GAʾAR~a2	GA’AR~a2	False	keep	proposed	12848	PROTO-CUNEIFORM SIGN GAAR-A2
GAʾAR~b1	GA’AR~b1	False	keep	proposed	12849	PROTO-CUNEIFORM SIGN GAAR-B1
GAʾAR~b2	GA’AR~b2	False	keep	proposed	1284A	PROTO-CUNEIFORM SIGN GAAR-B2
GADA~a	GADA~a	False	keep	proposed	1284B	PROTO-CUNEIFORM SIGN GADA-A
GADA~b	GADA~b	False	keep	proposed	1284C	PROTO-CUNEIFORM SIGN GADA-B
GADA~b@g	GADA~b@g	False	keep	proposed	1284D	PROTO-CUNEIFORM SIGN GADA-B GUNU
GAL~a	GAL~a	False	keep	proposed	1284E	PROTO-CUNEIFORM SIGN GAL-A
GAL~b	GAL~b	False	keep	proposed	1284F	PROTO-CUNEIFORM SIGN GAL-B
GALGA~a	GALGA~a	False	keep	proposed	12850	PROTO-CUNEIFORM SIGN GALGA-A
GALGA~b	GALGA~b	False	keep	proposed	12851	PROTO-CUNEIFORM SIGN GALGA-B
GAN~a	GAN~a	False	keep	proposed	12852	PROTO-CUNEIFORM SIGN GAN-A
GAN~a~v1	GAN~a	False	keep	proposed	12853	PROTO-CUNEIFORM SIGN GAN-A VARIANT 1
GAN~b	GAN~b	False	keep	proposed	12854	PROTO-CUNEIFORM SIGN GAN-B
GAN~b~v1	GAN~b	False	keep	proposed	12855	PROTO-CUNEIFORM SIGN GAN-B VARIANT 1
GAN~b~v2	GAN~b	False	keep	proposed	12856	PROTO-CUNEIFORM SIGN GAN-B VARIANT 2
GAN~b~v3	GAN~b	False	keep	proposed	12857	PROTO-CUNEIFORM SIGN GAN-B VARIANT 3
GAN~c	GAN~c	False	keep	proposed	12858	PROTO-CUNEIFORM SIGN GAN-C
|GAN~c×DIN|	|GAN~cxDIN|	False	keep	proposed	12859	PROTO-CUNEIFORM SIGN GAN-C TIMES DIN
|GAN~c×HI|	|GAN~cxHI|	False	keep	proposed	1285A	PROTO-CUNEIFORM SIGN GAN-C TIMES HI
|GAN~c×(HI.DIN)|	|GAN~cx(HI.DIN)|	False	rename	proposed	1285B	PROTO-CUNEIFORM SIGN GAN-C TIMES HI PLUS DIN
|GAN~c×LAGAB~b|	|GAN~cxLAGAB~b|	False	keep	proposed	1285C	PROTO-CUNEIFORM SIGN GAN-C TIMES LAGAB-B
|GAN~c×NE~a|	|GAN~cxNE~a|	False	keep	proposed	1285D	PROTO-CUNEIFORM SIGN GAN-C TIMES NE-A
|GAN~c×SIG₇|	|GAN~cxSIG7|	False	keep	proposed	1285E	PROTO-CUNEIFORM SIGN GAN-C TIMES SIG7
|GAN~c×X|	|GAN~cxX|	False	keep	proposed	1285F	PROTO-CUNEIFORM SIGN GAN-C TIMES X
GAN~c~v1	GAN~c	False	keep	proposed	12860	PROTO-CUNEIFORM SIGN GAN-C VARIANT 1
|GAN~c~v1×KAŠ~c|	|GAN~cxKASZ~c|	False	rename	proposed	12861	PROTO-CUNEIFORM SIGN GAN-C VARIANT 1 TIMES KASH-C
|GAN~c~v1×(KUR~a.A)|	|GAN~cx(KUR~a.A)|	False	rename	proposed	12862	PROTO-CUNEIFORM SIGN GAN-C VARIANT 1 TIMES KUR-A PLUS A
|GAN~c~v1×ZATU777~v1|	|GAN~cxZATU777|	False	rename	proposed	12863	PROTO-CUNEIFORM SIGN GAN-C VARIANT 1 TIMES ZATU777 VARIANT 1
|GAN~c~v2×ŠE~a|	|GAN~cxSZE~a|	False	rename	proposed	12864	PROTO-CUNEIFORM SIGN GAN-C VARIANT 2 TIMES SHE-A
|GAN~c~v2×ŠE₃~v1@t|	|GAN~cxSZE3@t|	False	rename	proposed	12865	PROTO-CUNEIFORM SIGN GAN-C VARIANT 2 TIMES SHE3 VARIANT 1 TENU
GAN~d	GAN~d	False	remove	not_proposed		
|GAN~d×GEŠTU~a~v2|	|GAN~dxGESZTU~a|	False	rename	proposed	12866	PROTO-CUNEIFORM SIGN GAN-D TIMES GESHTU-A VARIANT 2
|GAN~d×HI|	|GAN~dxHI|	False	remove	not_proposed		
GAN₂	GAN2	False	keep	proposed	12867	PROTO-CUNEIFORM SIGN GAN2
GAR	GAR	False	keep	proposed	12868	PROTO-CUNEIFORM SIGN GAR
GAR@g~a	GAR@g~a	False	keep	proposed	12869	PROTO-CUNEIFORM SIGN GAR GUNU-A
GAR@g~b	GAR@g~b	False	keep	proposed	1286A	PROTO-CUNEIFORM SIGN GAR GUNU-B
GAR@g~c	GAR@g~c	False	keep	proposed	1286B	PROTO-CUNEIFORM SIGN GAR GUNU-C
GAR₃	GAR3	False	keep	proposed	1286C	PROTO-CUNEIFORM SIGN GAR3
GARA₂~a	GARA2~a	False	keep	proposed	1286D	PROTO-CUNEIFORM SIGN GARA2-A
GARA₂~b	GARA2~b	False	keep	proposed	1286E	PROTO-CUNEIFORM SIGN GARA2-B
GAZI	GAZI	False	keep	proposed	1286F	PROTO-CUNEIFORM SIGN GAZI
GEŠTIN~a	GESZTIN~a	False	keep	proposed	12870	PROTO-CUNEIFORM SIGN GESHTIN-A
GEŠTIN~c	GESZTIN~c	False	remove	not_proposed		
|GEŠTIN~c×X|	|GESZTIN~cxX|	False	remove	not_proposed		
GEŠTU~a	GESZTU~a	False	keep	proposed	12871	PROTO-CUNEIFORM SIGN GESHTU-A
|GEŠTU~a×ŠE~a@t~v1|	|GESZTU~axSZE~a@t|	False	remove	not_proposed		
GEŠTU~a~v1	GESZTU~a	False	keep	proposed	12872	PROTO-CUNEIFORM SIGN GESHTU-A VARIANT 1
GEŠTU~a~v2	GESZTU~a	False	keep	proposed	12873	PROTO-CUNEIFORM SIGN GESHTU-A VARIANT 2
GEŠTU~b	GESZTU~b	False	keep	proposed	12874	PROTO-CUNEIFORM SIGN GESHTU-B
GEŠTU~c3	GESZTU~c3	False	keep	proposed	12875	PROTO-CUNEIFORM SIGN GESHTU-C3
GEŠTU~c3~v1	GESZTU~c3	False	keep	proposed	12876	PROTO-CUNEIFORM SIGN GESHTU-C3 VARIANT 1
GEŠTU~c5	GESZTU~c5	False	keep	proposed	12877	PROTO-CUNEIFORM SIGN GESHTU-C5
GI	GI	False	keep	proposed	12878	PROTO-CUNEIFORM SIGN GI
|GI×KU~b1|	|GIxKU~b1|	False	keep	proposed	12879	PROTO-CUNEIFORM SIGN GI TIMES KU-B1
|GI×NAM₂|	|GIxNAM2|	False	keep	proposed	1287A	PROTO-CUNEIFORM SIGN GI TIMES NAM2
|GI×SIG₂~d1|	|GIxSIG2~d1|	False	keep	proposed	1287B	PROTO-CUNEIFORM SIGN GI TIMES SIG2-D1
|GI×ŠE₃~v1|	|GIxSZE3|	False	rename	proposed	1287C	PROTO-CUNEIFORM SIGN GI TIMES SHE3 VARIANT 1
|GI×X|	|GIxX|	False	keep	proposed	1287D	PROTO-CUNEIFORM SIGN GI TIMES X
|GI×1(N58@t)|	|GIx1(N58)@t|	True	keep	proposed	1287E	PROTO-CUNEIFORM SIGN GI TIMES ONE-N58 TENU
|GI&GI|	|GI&GI|	False	keep	proposed	1287F	PROTO-CUNEIFORM SIGN GI OVER GI
|(GI&GI)×GIŠ@t|	|(GI&GI)xGISZ@t|	False	keep	proposed	12880	PROTO-CUNEIFORM SIGN GI OVER GI TIMES GISH TENU
|(GI&GI)×ŠE₃~v1|	|(GI+&GI)xSZE3|	True	rename	proposed	12881	PROTO-CUNEIFORM SIGN GI OVER GI TIMES SHE3 VARIANT 1
|(GI&GI)×X|	|(GI&GI)xX|	False	keep	proposed	12882	PROTO-CUNEIFORM SIGN GI OVER GI TIMES X
GI@t	GI@t	False	keep	proposed	12883	PROTO-CUNEIFORM SIGN GI TENU
GI~v1	GI	False	keep	proposed	12884	PROTO-CUNEIFORM SIGN GI VARIANT 1
|GI~v1×GIŠ@t|	|GIxGISZ@t|	False	rename	proposed	12885	PROTO-CUNEIFORM SIGN GI VARIANT 1 TIMES GISH TENU
|GI~v1×LAGAB~a|	|GIxLAGAB~a|	False	rename	proposed	12886	PROTO-CUNEIFORM SIGN GI VARIANT 1 TIMES LAGAB-A
|GI~v1×1(N14)|	|GIx1(N14)|	False	rename	proposed	12887	PROTO-CUNEIFORM SIGN GI VARIANT 1 TIMES ONE-N14
|GI~v1&GI~v1&GI~v1|	|GI&GI&GI|	False	rename	proposed	12888	PROTO-CUNEIFORM SIGN GI VARIANT 1 OVER GI VARIANT 1 OVER GI VARIANT 1
GI₄~a	GI4~a	False	keep	proposed	12889	PROTO-CUNEIFORM SIGN GI4-A
|GI₄~a×A|	|GI4~axA|	False	keep	proposed	1288A	PROTO-CUNEIFORM SIGN GI4-A TIMES A
|GI₄~a&GI₄~a|	|GI4~a&GI4~a|	False	keep	proposed	1288B	PROTO-CUNEIFORM SIGN GI4-A OVER GI4-A
GI₄~b	GI4~b	False	keep	proposed	1288C	PROTO-CUNEIFORM SIGN GI4-B
|GI₄~b&GI₄~b|	|GI4~b&GI4~b|	False	keep	proposed	1288D	PROTO-CUNEIFORM SIGN GI4-B OVER GI4-B
GI₆	GI6	False	keep	proposed	1288E	PROTO-CUNEIFORM SIGN GI6
GI₆~v1	GI6	False	keep	proposed	1288F	PROTO-CUNEIFORM SIGN GI6 VARIANT 1
GIBIL	GIBIL	False	keep	proposed	12890	PROTO-CUNEIFORM SIGN GIBIL
GIBIL@t	GIBIL@t	False	keep	proposed	12891	PROTO-CUNEIFORM SIGN GIBIL TENU
GIBIL₆	GIBIL6	False	keep	proposed	12892	PROTO-CUNEIFORM SIGN GIBIL6
GIG	GIG	False	remove	not_proposed		
GIL	GIL	False	remove	not_proposed		
GIR~a	GIR~a	False	keep	proposed	12893	PROTO-CUNEIFORM SIGN GIR-A
|GIR~a.KU₆~a|	|GIR~a.KU6~a|	False	keep	proposed	12894	PROTO-CUNEIFORM SIGN GIR-A BESIDE KU6-A
GIR~b	GIR~b	False	keep	proposed	12895	PROTO-CUNEIFORM SIGN GIR-B
GIR~b~v1	GIR~b	False	keep	proposed	12896	PROTO-CUNEIFORM SIGN GIR-B VARIANT 1
|GIR~b~v1.GIR~b~v1|	|GIR~b.GIR~b|	False	rename	proposed	12897	PROTO-CUNEIFORM SIGN GIR-B VARIANT 1 BESIDE GIR-B VARIANT 1
GIR~c	GIR~c	False	keep	proposed	12898	PROTO-CUNEIFORM SIGN GIR-C
GIR~d	GIR~d	False	keep	proposed	12899	PROTO-CUNEIFORM SIGN GIR-D
GIR₂~a	GIR2~a	False	keep	proposed	1289A	PROTO-CUNEIFORM SIGN GIR2-A
GIR₂~b	GIR2~b	False	keep	proposed	1289B	PROTO-CUNEIFORM SIGN GIR2-B
GIR₃~a	GIR3~a	False	keep	proposed	1289C	PROTO-CUNEIFORM SIGN GIR3-A
|GIR₃~a×ŠE~b|	|GIR3~axSZE~b|	False	keep	proposed	1289D	PROTO-CUNEIFORM SIGN GIR3-A TIMES SHE-B
GIR₃~b	GIR3~b	False	keep	proposed	1289E	PROTO-CUNEIFORM SIGN GIR3-B
GIR₃~c	GIR3~c	False	keep	proposed	1289F	PROTO-CUNEIFORM SIGN GIR3-C
|GIR₃~c×KAR₂~b|	|GIR3~cxKAR2|	False	rename	proposed	128A0	PROTO-CUNEIFORM SIGN GIR3-C TIMES KAR2-B
|GIR₃~c×ŠE₃~v1|	|GIR3~cxSZE3|	False	rename	proposed	128A1	PROTO-CUNEIFORM SIGN GIR3-C TIMES SHE3 VARIANT 1
GIR₃@g~a	GIR3@g~a	False	keep	proposed	128A2	PROTO-CUNEIFORM SIGN GIR3 GUNU-A
GIR₃@g~b	GIR3@g~b	False	keep	proposed	128A3	PROTO-CUNEIFORM SIGN GIR3 GUNU-B
GIR₃@g~c	GIR3@g~c	False	keep	proposed	128A4	PROTO-CUNEIFORM SIGN GIR3 GUNU-C
GIR₄	GIR4	False	remove	not_proposed		
GISAL~a	GISAL~a	False	keep	proposed	128A5	PROTO-CUNEIFORM SIGN GISAL-A
GISAL~b	GISAL~b	False	keep	proposed	128A6	PROTO-CUNEIFORM SIGN GISAL-B
GIŠ	GISZ	False	keep	proposed	128A7	PROTO-CUNEIFORM SIGN GISH
|GIŠ.TE|	|GISZ.TE|	False	keep	proposed	128A8	PROTO-CUNEIFORM SIGN GISH BESIDE TE
|(GIŠ×(DIN.DIN))~a|	|(GISZx(DIN.DIN))~a|	False	rename	proposed	128A9	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM A
|(GIŠ×(DIN.DIN))~b|	|(GISZx(DIN.DIN))~b|	False	rename	proposed	128AA	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM B
|(GIŠ×(DIN.DIN))~c|	|(GISZx(DIN.DIN))~c|	False	rename	proposed	128AB	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM C
|GIŠ×ŠU₂~a|	|GISZxSZU2~a|	False	keep	proposed	128AC	PROTO-CUNEIFORM SIGN GISH TIMES SHU2-A
|GIŠ×ŠU₂~b|	|GISZxSZU2~b|	False	keep	proposed	128AD	PROTO-CUNEIFORM SIGN GISH TIMES SHU2-B
GIŠ@t	GISZ@t	False	keep	proposed	128AE	PROTO-CUNEIFORM SIGN GISH TENU
|GIŠ@t.E₂~a|	|GISZ@t.E2~a|	False	remove	not_proposed		
GIŠ~v	GISZ~x	False	remove	not_proposed		
GIŠ₃~a	GISZ3~a	False	keep	proposed	128AF	PROTO-CUNEIFORM SIGN GISH3-A
|GIŠ₃~a&GIŠ₃~a|	|GISZ3~a&GISZ3~a|	False	keep	proposed	128B0	PROTO-CUNEIFORM SIGN GISH3-A OVER GISH3-A
GIŠ₃~b	GISZ3~b	False	keep	proposed	128B1	PROTO-CUNEIFORM SIGN GISH3-B
GIŠGAL	GISZGAL	False	keep	proposed	128B2	PROTO-CUNEIFORM SIGN GISHGAL
GIŠGAL~v1	GISZGAL	False	keep	proposed	128B3	PROTO-CUNEIFORM SIGN GISHGAL VARIANT 1
GIŠIMMAR~a1	GISZIMMAR~a1	False	keep	proposed	128B4	PROTO-CUNEIFORM SIGN GISHIMMAR-A1
GIŠIMMAR~a2	GISZIMMAR~a2	False	keep	proposed	128B5	PROTO-CUNEIFORM SIGN GISHIMMAR-A2
GIŠIMMAR~a3	GISZIMMAR~a3	False	keep	proposed	128B6	PROTO-CUNEIFORM SIGN GISHIMMAR-A3
GIŠIMMAR~b1	GISZIMMAR~b1	False	keep	proposed	128B7	PROTO-CUNEIFORM SIGN GISHIMMAR-B1
GIŠIMMAR~b1~v1	GISZIMMAR~b1	False	keep	proposed	128B8	PROTO-CUNEIFORM SIGN GISHIMMAR-B1 VARIANT 1
GIŠIMMAR~b1~v2	GISZIMMAR~b1	False	keep	proposed	128B9	PROTO-CUNEIFORM SIGN GISHIMMAR-B1 VARIANT 2
GIŠIMMAR~b3	GISZIMMAR~b3	False	keep	proposed	128BA	PROTO-CUNEIFORM SIGN GISHIMMAR-B3
GIZZAL~v	GIZZAL~x	False	rename	proposed	128BB	PROTO-CUNEIFORM SIGN GIZZAL-V
GU	GU	False	keep	proposed	128BC	PROTO-CUNEIFORM SIGN GU
GU₂	GU2	False	keep	proposed	128BD	PROTO-CUNEIFORM SIGN GU2
GU₄	GU4	False	keep	proposed	128BE	PROTO-CUNEIFORM SIGN GU4
|GU₄.ZATU755~b|	|GU4.ZATU755~a|	False	rename	proposed	128BF	PROTO-CUNEIFORM SIGN GU4 BESIDE ZATU755-B
GU₄@g	GU4@g	False	keep	proposed	128C0	PROTO-CUNEIFORM SIGN GU4 GUNU
GU₄~v1	GU4	False	keep	proposed	128C1	PROTO-CUNEIFORM SIGN GU4 VARIANT 1
GU₇	GU7	False	keep	proposed	128C2	PROTO-CUNEIFORM SIGN GU7
GU₇~v1	GU7	False	keep	proposed	128C3	PROTO-CUNEIFORM SIGN GU7 VARIANT 1
GUB₃~a	GUB3~a	False	keep	proposed	128C4	PROTO-CUNEIFORM SIGN GUB3-A
GUB₃~b	GUB3~b	False	keep	proposed	128C5	PROTO-CUNEIFORM SIGN GUB3-B
GUB₃~c	GUB3~c	False	keep	proposed	128C6	PROTO-CUNEIFORM SIGN GUB3-C
GUB₃~d	GUB3~d	False	keep	proposed	128C7	PROTO-CUNEIFORM SIGN GUB3-D
GUG₂	GUG2	False	keep	proposed	128C8	PROTO-CUNEIFORM SIGN GUG2
GUG₂@t	GUG2@t	False	keep	proposed	128C9	PROTO-CUNEIFORM SIGN GUG2 TENU
GUG₂~v1	GUG2	False	keep	proposed	128CA	PROTO-CUNEIFORM SIGN GUG2 VARIANT 1
|GUG₂~v1×SILA₃~a|	|GUG2xSILA3~a|	False	rename	proposed	128CB	PROTO-CUNEIFORM SIGN GUG2 VARIANT 1 TIMES SILA3-A
|GUG₂~v1×ŠITA~a1|	|GUG2xSZITA~a1|	False	delete	not_proposed		
|GUG₂~v1×TUR~v1|	|GUG2xTUR|	False	rename	proposed	128CC	PROTO-CUNEIFORM SIGN GUG2 VARIANT 1 TIMES TUR VARIANT 1
GUKKAL~a	GUKKAL~a	False	keep	proposed	128CD	PROTO-CUNEIFORM SIGN GUKKAL-A
|GUKKAL~a.HI@g~a|	|GUKKAL~a.HI@g~a|	False	keep	proposed	128CE	PROTO-CUNEIFORM SIGN GUKKAL-A BESIDE HI GUNU-A
GUKKAL~b	GUKKAL~b	False	keep	proposed	128CF	PROTO-CUNEIFORM SIGN GUKKAL-B
GUKKAL~c	GUKKAL~c	False	keep	proposed	128D0	PROTO-CUNEIFORM SIGN GUKKAL-C
GUKKAL~d	GUKKAL~d	False	keep	proposed	128D1	PROTO-CUNEIFORM SIGN GUKKAL-D
GUL	GUL	False	keep	proposed	128D2	PROTO-CUNEIFORM SIGN GUL
GUM~a	GUM~a	False	keep	proposed	128D3	PROTO-CUNEIFORM SIGN GUM-A
GUM~b	GUM~b	False	keep	proposed	128D4	PROTO-CUNEIFORM SIGN GUM-B
GUM~b@n	GUM~b@n	False	keep	proposed	128D5	PROTO-CUNEIFORM SIGN GUM-B NUTILLU
GUM~b@n~v1	GUM~b@n	False	keep	proposed	128D6	PROTO-CUNEIFORM SIGN GUM-B NUTILLU VARIANT 1
GUM~b~v1	GUM~b	False	keep	proposed	128D7	PROTO-CUNEIFORM SIGN GUM-B VARIANT 1
GUN₃~a	GUN3~a	False	keep	proposed	128D8	PROTO-CUNEIFORM SIGN GUN3-A
GUN₃~b	GUN3~b	False	keep	proposed	128D9	PROTO-CUNEIFORM SIGN GUN3-B
GUR	GUR	False	keep	proposed	128DA	PROTO-CUNEIFORM SIGN GUR
GURUŠ~a	GURUSZ~a	False	keep	proposed	128DB	PROTO-CUNEIFORM SIGN GURUSH-A
|GURUŠ~a×2(N14)|	|GURUSZ~ax2(N14)|	False	keep	proposed	128DC	PROTO-CUNEIFORM SIGN GURUSH-A TIMES TWO-N14
GURUŠ~a~v1	GURUSZ~a	False	keep	proposed	128DD	PROTO-CUNEIFORM SIGN GURUSH-A VARIANT 1
GURUŠ~b	GURUSZ~b	False	keep	proposed	128DE	PROTO-CUNEIFORM SIGN GURUSH-B
|GURUŠ~b×2(N14)|	|GURUSZ~bx2(N14)|	False	keep	proposed	128DF	PROTO-CUNEIFORM SIGN GURUSH-B TIMES TWO-N14
|GURUŠ~c×2(N14)|	|GURUSZ~cx2(N14)|	False	keep	proposed	128E0	PROTO-CUNEIFORM SIGN GURUSH-C TIMES TWO-N14
GURUŠDA	GURUSZDA	False	keep	proposed	128E1	PROTO-CUNEIFORM SIGN GURUSHDA
HAL	HAL	False	keep	proposed	128E2	PROTO-CUNEIFORM SIGN HAL
HALUB	HALUB	False	keep	proposed	128E3	PROTO-CUNEIFORM SIGN HALUB
HAŠHUR	HASZHUR	False	keep	proposed	128E4	PROTO-CUNEIFORM SIGN HASHHUR
|HAŠHUR×MA|	|HASZHURxMA|	False	keep	proposed	128E5	PROTO-CUNEIFORM SIGN HASHHUR TIMES MA
HI	HI	False	keep	proposed	128E6	PROTO-CUNEIFORM SIGN HI
|HI.SUHUR|	|HI.SUHUR|	False	newglyph	proposed	128E7	PROTO-CUNEIFORM SIGN HI BESIDE SUHUR
|HI.SUHUR~v1|	|HI.SUHUR|	False	keep	proposed	128E8	PROTO-CUNEIFORM SIGN HI BESIDE SUHUR VARIANT 1
|HI.SUHUR~v2|	|HI.SUHUR|	False	newglyph	proposed	128E9	PROTO-CUNEIFORM SIGN HI BESIDE SUHUR VARIANT 2
|HI×LAGAB~a|	|HIxLAGAB~a|	False	keep	proposed	128EA	PROTO-CUNEIFORM SIGN HI TIMES LAGAB-A
|HI×ŠE₃~v1@t|	|HIxSZE3@t|	False	remove	not_proposed		
|HI×ZATU707~a|	|HIxZATU707~a|	False	keep	proposed	128EB	PROTO-CUNEIFORM SIGN HI TIMES ZATU707-A
|HI×1(N01@f)|	|HIx1(N01)F|	True	remove	not_proposed		
|HI×1(N57)|	|HIx1(N57)|	False	keep	proposed	128EC	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57
|(HI×1(N57)).(HI×1(N57))|	|(HIx1(N57))&(HI+1(N57))|	True	keep	proposed	128ED	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57 BESIDE HI TIMES ONE-N57
|HI×1(N57@t)|	|HIx1(N57)@t|	True	keep	proposed	128EE	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57 TENU
|HI×1(N58)|	|HIx1(N58)|	False	keep	proposed	128EF	PROTO-CUNEIFORM SIGN HI TIMES ONE-N58
HI@g~a	HI@g~a	False	keep	proposed	128F0	PROTO-CUNEIFORM SIGN HI GUNU-A
HI@g~b	HI@g~b	False	keep	proposed	128F1	PROTO-CUNEIFORM SIGN HI GUNU-B
HI@g~c	HI@g~c	False	keep	proposed	128F2	PROTO-CUNEIFORM SIGN HI GUNU-C
HUB₂	HUB2	False	remove	not_proposed		
I	I	False	keep	proposed	128F3	PROTO-CUNEIFORM SIGN I
IB~a	IB~a	False	keep	proposed	128F4	PROTO-CUNEIFORM SIGN IB-A
IB~a@n	IB~a@n	False	keep	proposed	128F5	PROTO-CUNEIFORM SIGN IB-A NUTILLU
IB~b	IB~b	False	keep	proposed	128F6	PROTO-CUNEIFORM SIGN IB-B
IDIGNA	IDIGNA	False	keep	proposed	128F7	PROTO-CUNEIFORM SIGN IDIGNA
IDIGNA~v1	IDIGNA	False	keep	proposed	128F8	PROTO-CUNEIFORM SIGN IDIGNA VARIANT 1
IG~a	IG~a	False	keep	proposed	128F9	PROTO-CUNEIFORM SIGN IG-A
IG~b	IG~b	False	keep	proposed	128FA	PROTO-CUNEIFORM SIGN IG-B
IGI	IGI	False	remove	not_proposed		
IL	IL	False	keep	proposed	128FB	PROTO-CUNEIFORM SIGN IL
ILDUM~a	ILDUM~a	False	keep	proposed	128FC	PROTO-CUNEIFORM SIGN ILDUM-A
ILDUM~b	ILDUM~b	False	keep	proposed	128FD	PROTO-CUNEIFORM SIGN ILDUM-B
IM~a	IM~a	False	keep	proposed	128FE	PROTO-CUNEIFORM SIGN IM-A
IM~a@g	IM~a@g	False	remove	not_proposed		
IM~b	IM~b	False	keep	proposed	128FF	PROTO-CUNEIFORM SIGN IM-B
IN~b	IN~b	False	keep	proposed	12900	PROTO-CUNEIFORM SIGN IN-B
IN~b~v1	IN~b	False	keep	proposed	12901	PROTO-CUNEIFORM SIGN IN-B VARIANT 1
IN~d	IN~d	False	keep	proposed	12902	PROTO-CUNEIFORM SIGN IN-D
IR~a	IR~a	False	keep	proposed	12903	PROTO-CUNEIFORM SIGN IR-A
|IR~a.GA₂~a1|	|IR~a.GA2~a1|	False	keep	proposed	12904	PROTO-CUNEIFORM SIGN IR-A BESIDE GA2-A1
IR~b	IR~b	False	keep	proposed	12905	PROTO-CUNEIFORM SIGN IR-B
IR~c	IR~c	False	keep	proposed	12906	PROTO-CUNEIFORM SIGN IR-C
IR~d	IR~d	False	keep	proposed	12907	PROTO-CUNEIFORM SIGN IR-D
IR₁₁	IR11	False	keep	proposed	12908	PROTO-CUNEIFORM SIGN IR11
IR₁₁~v1	IR11	False	keep	proposed	12909	PROTO-CUNEIFORM SIGN IR11 VARIANT 1
IRHAN	IRHAN	False	keep	proposed	1290A	PROTO-CUNEIFORM SIGN IRHAN
IŠ~a	ISZ~a	False	keep	proposed	1290B	PROTO-CUNEIFORM SIGN ISH-A
IŠ~a~v1	ISZ~a	False	keep	proposed	1290C	PROTO-CUNEIFORM SIGN ISH-A VARIANT 1
IŠ~b	ISZ~b	False	newglyph	proposed	1290D	PROTO-CUNEIFORM SIGN ISH-B
IŠ~b~v1	ISZ~b	False	newglyph	proposed	1290E	PROTO-CUNEIFORM SIGN ISH-B VARIANT 1
IŠ~b~v2	ISZ~b	False	keep	proposed	1290F	PROTO-CUNEIFORM SIGN ISH-B VARIANT 2
IŠ~b~v3	ISZ~b	False	keep	proposed	12910	PROTO-CUNEIFORM SIGN ISH-B VARIANT 3
IŠ~b~v4	ISZ~b	False	keep	proposed	12911	PROTO-CUNEIFORM SIGN ISH-B VARIANT 4
IŠ~b~v5	ISZ~b	False	keep	proposed	12912	PROTO-CUNEIFORM SIGN ISH-B VARIANT 5
IŠ~c	ISZ~c	False	keep	proposed	12913	PROTO-CUNEIFORM SIGN ISH-C
KA~a	KA~a	False	keep	proposed	12914	PROTO-CUNEIFORM SIGN KA-A
|KA~a×SAR~a|	|KA~axSAR~a|	False	keep	proposed	12915	PROTO-CUNEIFORM SIGN KA-A TIMES SAR-A
|KA~a~v1.ŠE~a|	|KA~a.SZE~a|	False	rename	proposed	12916	PROTO-CUNEIFORM SIGN KA-A VARIANT 1 BESIDE SHE-A
|KA~a~v2.ŠE~a@t|	|KA~a.SZE~a|	False	rename	proposed	12917	PROTO-CUNEIFORM SIGN KA-A VARIANT 2 BESIDE SHE-A TENU
KA₂~a	KA2~a	False	keep	proposed	12918	PROTO-CUNEIFORM SIGN KA2-A
KA₂~b	KA2~b	False	keep	proposed	12919	PROTO-CUNEIFORM SIGN KA2-B
KA₂~c	KA2~c	False	keep	proposed	1291A	PROTO-CUNEIFORM SIGN KA2-C
KA₂~d	KA2~d	False	remove	not_proposed		
|KA₂~d×LAM~b~v2|	|KA2xLAM|	False	newglyph rename	proposed	1291B	PROTO-CUNEIFORM SIGN KA2-D TIMES LAM-B VARIANT 2
KAB	KAB	False	keep	proposed	1291C	PROTO-CUNEIFORM SIGN KAB
|KAB×1(N58)|	|KABx1(N58)|	False	keep	proposed	1291D	PROTO-CUNEIFORM SIGN KAB TIMES ONE-N58
