A	PROTO-CUNEIFORM SIGN A
|GA₂~a1×GEŠTU~c3|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-C3
|GA₂~a1×GEŠTU~c5|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-C5
|GA₂~a1×GIR~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GIR-A
|GA₂~a1×(GIR~a.KU₆~a)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GIR-A PLUS KU6-A
|GA₂~a1×GIŠ@t|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GISH TENU
|GA₂~a1×GU₄|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GU4
|GA₂~a1×HAL|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HAL
|GA₂~a1×HI|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HI
|GA₂~a1×(HI.SUHUR)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HI PLUS SUHUR
|GA₂~a1×KU₃~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU3-A
|GA₂~a1×KU₆~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU6-A
|GA₂~a1×(KU₆~a.KU₆~a)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU6-A PLUS KU6-A
|GA₂~a1×LAGAB~b|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES LAGAB-B
|GA₂~a1×MAŠ|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES MASH
|GA₂~a1×NAGA~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES NAGA-A
|GA₂~a1×NIM~b1|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES NIM-B1
|GA₂~a1×NUN~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES NUN-A
|GA₂~a1×PAD~b|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES PAD-B
|GA₂~a1×PAP~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES PAP-A
|GA₂~a1×SU~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SU-A
|GA₂~a1×SUHUR|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUHUR
|GA₂~a1×SUKUD|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUKUD
|GA₂~a1×((SUKUD+SUKUD)~a)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUKUD JOINING SUKUD FORM A
|GA₂~a1×((SUKUD+SUKUD)~b)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUKUD JOINING SUKUD FORM B
|GA₂~a1×SUMAŠ|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUMASH
|GA₂~a1×ŠA|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SHA
|GA₂~a1×TI|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES TI
|GA₂~a1×U₄|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES U4
|GA₂~a1×X|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES X
|GA₂~a1×1(N14)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES ONE-N14
|GA₂~a1×1(N57)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES ONE-N57
|GA₂~a1×3(N57)|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES THREE-N57
GA₂~a2	PROTO-CUNEIFORM SIGN GA2-A2
|GA₂~a2×GU₄|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES GU4
|GA₂~a2×NI~a|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES NI-A
|GA₂~a2×NI~b|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES NI-B
|GA₂~a2×SUHUR|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES SUHUR
|GA₂~a2×ŠE₃|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES SHE3
|GA₂~a2×(ŠE₃.GU₄)|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES SHE3 PLUS GU4
|GA₂~a2×X|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES X
|GA₂~a2×3(N57)|	PROTO-CUNEIFORM SIGN GA2-A2 TIMES THREE-N57
GA₂~a3	PROTO-CUNEIFORM SIGN GA2-A3
|GA₂~a3×X|	PROTO-CUNEIFORM SIGN GA2-A3 TIMES X
GA₂~a4	PROTO-CUNEIFORM SIGN GA2-A4
GA₂~b	PROTO-CUNEIFORM SIGN GA2-B
|GA₂~b×DUB~a|	PROTO-CUNEIFORM SIGN GA2-B TIMES DUB-A
|GA₂~b×DUB~b|	PROTO-CUNEIFORM SIGN GA2-B TIMES DUB-B
|GA₂~b×KU₃~a|	PROTO-CUNEIFORM SIGN GA2-B TIMES KU3-A
|GA₂~b×KU₆~a|	PROTO-CUNEIFORM SIGN GA2-B TIMES KU6-A
|GA₂~b×NUN~b|	PROTO-CUNEIFORM SIGN GA2-B TIMES NUN-B
|GA₂~b×ZATU659|	PROTO-CUNEIFORM SIGN GA2-B TIMES ZATU659
GA₂~c	PROTO-CUNEIFORM SIGN GA2-C
GAʾAR~a1	PROTO-CUNEIFORM SIGN GAAR-A1
GAʾAR~a2	PROTO-CUNEIFORM SIGN GAAR-A2
GAʾAR~b1	PROTO-CUNEIFORM SIGN GAAR-B1
GAʾAR~b2	PROTO-CUNEIFORM SIGN GAAR-B2
GADA~a	PROTO-CUNEIFORM SIGN GADA-A
GADA~b	PROTO-CUNEIFORM SIGN GADA-B
GADA~b@g	PROTO-CUNEIFORM SIGN GADA-B GUNU
GAL~a	PROTO-CUNEIFORM SIGN GAL-A
GAL~b	PROTO-CUNEIFORM SIGN GAL-B
GALGA~a	PROTO-CUNEIFORM SIGN GALGA-A
GALGA~b	PROTO-CUNEIFORM SIGN GALGA-B
GAN~a	PROTO-CUNEIFORM SIGN GAN-A
GAN~b	PROTO-CUNEIFORM SIGN GAN-B
GAN~c	PROTO-CUNEIFORM SIGN GAN-C
|GAN~c×DIN|	PROTO-CUNEIFORM SIGN GAN-C TIMES DIN
|GAN~c×HI|	PROTO-CUNEIFORM SIGN GAN-C TIMES HI
|GAN~c×(HI.DIN)|	PROTO-CUNEIFORM SIGN GAN-C TIMES HI PLUS DIN
|GAN~c×KAŠ~c|	PROTO-CUNEIFORM SIGN GAN-C TIMES KASH-C
|GAN~c×(KUR~a.A)|	PROTO-CUNEIFORM SIGN GAN-C TIMES KUR-A PLUS A
|GAN~c×LAGAB~b|	PROTO-CUNEIFORM SIGN GAN-C TIMES LAGAB-B
|GAN~c×NE~a|	PROTO-CUNEIFORM SIGN GAN-C TIMES NE-A
|GAN~c×SIG₇|	PROTO-CUNEIFORM SIGN GAN-C TIMES SIG7
|GAN~c×ŠE~a|	PROTO-CUNEIFORM SIGN GAN-C TIMES SHE-A
|GAN~c×ŠE₃@t|	PROTO-CUNEIFORM SIGN GAN-C TIMES SHE3 TENU
|GAN~c×X|	PROTO-CUNEIFORM SIGN GAN-C TIMES X
|GAN~c×ZATU777|	PROTO-CUNEIFORM SIGN GAN-C TIMES ZATU777
|GAN~c×(4(N57).GAR)|	PROTO-CUNEIFORM SIGN GAN-C TIMES FOUR-N57 PLUS GAR
GAN~d	PROTO-CUNEIFORM SIGN GAN-D
|GAN~d×GEŠTU~a|	PROTO-CUNEIFORM SIGN GAN-D TIMES GESHTU-A
|GAN~d×HI|	PROTO-CUNEIFORM SIGN GAN-D TIMES HI
GAN₂	PROTO-CUNEIFORM SIGN GAN2
GAR	PROTO-CUNEIFORM SIGN GAR
GAR@g~a	PROTO-CUNEIFORM SIGN GAR GUNU-A
GAR@g~b	PROTO-CUNEIFORM SIGN GAR GUNU-B
GAR@g~c	PROTO-CUNEIFORM SIGN GAR GUNU-C
GAR₃	PROTO-CUNEIFORM SIGN GAR3
GARA₂~a	PROTO-CUNEIFORM SIGN GARA2-A
GARA₂~b	PROTO-CUNEIFORM SIGN GARA2-B
GAZI	PROTO-CUNEIFORM SIGN GAZI
GEŠTIN~a	PROTO-CUNEIFORM SIGN GESHTIN-A
GEŠTIN~c	PROTO-CUNEIFORM SIGN GESHTIN-C
|GEŠTIN~c×X|	PROTO-CUNEIFORM SIGN GESHTIN-C TIMES X
GEŠTIN~d	PROTO-CUNEIFORM SIGN GESHTIN-D
GEŠTIN~e	PROTO-CUNEIFORM SIGN GESHTIN-E
GEŠTU~a	PROTO-CUNEIFORM SIGN GESHTU-A
|GEŠTU~a×ŠE~a@t|	PROTO-CUNEIFORM SIGN GESHTU-A TIMES SHE-A TENU
GEŠTU~b	PROTO-CUNEIFORM SIGN GESHTU-B
GEŠTU~c3	PROTO-CUNEIFORM SIGN GESHTU-C3
GEŠTU~c5	PROTO-CUNEIFORM SIGN GESHTU-C5
GI	PROTO-CUNEIFORM SIGN GI
|GI×A|	PROTO-CUNEIFORM SIGN GI TIMES A
|GI×GIŠ@t|	PROTO-CUNEIFORM SIGN GI TIMES GISH TENU
|GI×KU~b1|	PROTO-CUNEIFORM SIGN GI TIMES KU-B1
|GI×LAGAB~a|	PROTO-CUNEIFORM SIGN GI TIMES LAGAB-A
|GI×NAM₂|	PROTO-CUNEIFORM SIGN GI TIMES NAM2
|GI×SIG₂~d1|	PROTO-CUNEIFORM SIGN GI TIMES SIG2-D1
|GI×ŠE₃|	PROTO-CUNEIFORM SIGN GI TIMES SHE3
|GI×X|	PROTO-CUNEIFORM SIGN GI TIMES X
|GI×1(N14)|	PROTO-CUNEIFORM SIGN GI TIMES ONE-N14
|GI×1(N58@t)|	PROTO-CUNEIFORM SIGN GI TIMES ONE-N58 TENU
|GI&GI|	PROTO-CUNEIFORM SIGN GI OVER GI
|(GI&GI)×GIŠ@t|	PROTO-CUNEIFORM SIGN GI OVER GI TIMES GISH TENU
|(GI&GI)×ŠE₃|	PROTO-CUNEIFORM SIGN GI OVER GI TIMES SHE3
|(GI&GI)×X|	PROTO-CUNEIFORM SIGN GI OVER GI TIMES X
|GI&GI&GI|	PROTO-CUNEIFORM SIGN GI OVER GI OVER GI
GI@t	PROTO-CUNEIFORM SIGN GI TENU
GI₄~a	PROTO-CUNEIFORM SIGN GI4-A
|GI₄~a×A|	PROTO-CUNEIFORM SIGN GI4-A TIMES A
|GI₄~a&GI₄~a|	PROTO-CUNEIFORM SIGN GI4-A OVER GI4-A
GI₄~b	PROTO-CUNEIFORM SIGN GI4-B
|GI₄~b&GI₄~b|	PROTO-CUNEIFORM SIGN GI4-B OVER GI4-B
GI₆	PROTO-CUNEIFORM SIGN GI6
GIBIL	PROTO-CUNEIFORM SIGN GIBIL
GIBIL@t	PROTO-CUNEIFORM SIGN GIBIL TENU
GIBIL₆	PROTO-CUNEIFORM SIGN GIBIL6
GIG	PROTO-CUNEIFORM SIGN GIG
GIL	PROTO-CUNEIFORM SIGN GIL
GIR~a	PROTO-CUNEIFORM SIGN GIR-A
|GIR~a.KU₆~a|	PROTO-CUNEIFORM SIGN GIR-A BESIDE KU6-A
GIR~b	PROTO-CUNEIFORM SIGN GIR-B
|GIR~b.GIR~b|	PROTO-CUNEIFORM SIGN GIR-B BESIDE GIR-B
GIR~c	PROTO-CUNEIFORM SIGN GIR-C
GIR~d	PROTO-CUNEIFORM SIGN GIR-D
GIR₂~a	PROTO-CUNEIFORM SIGN GIR2-A
GIR₂~b	PROTO-CUNEIFORM SIGN GIR2-B
GIR₃~a	PROTO-CUNEIFORM SIGN GIR3-A
|GIR₃~a×ŠE~b|	PROTO-CUNEIFORM SIGN GIR3-A TIMES SHE-B
GIR₃~b	PROTO-CUNEIFORM SIGN GIR3-B
GIR₃~c	PROTO-CUNEIFORM SIGN GIR3-C
|GIR₃~c×KAR₂~b|	PROTO-CUNEIFORM SIGN GIR3-C TIMES KAR2-B
|GIR₃~c×ŠE₃|	PROTO-CUNEIFORM SIGN GIR3-C TIMES SHE3
GIR₃@g~a	PROTO-CUNEIFORM SIGN GIR3 GUNU-A
GIR₃@g~b	PROTO-CUNEIFORM SIGN GIR3 GUNU-B
GIR₃@g~c	PROTO-CUNEIFORM SIGN GIR3 GUNU-C
GIR₄	PROTO-CUNEIFORM SIGN GIR4
GISAL~a	PROTO-CUNEIFORM SIGN GISAL-A
GISAL~b	PROTO-CUNEIFORM SIGN GISAL-B
GIŠ	PROTO-CUNEIFORM SIGN GISH
|GIŠ.TE|	PROTO-CUNEIFORM SIGN GISH BESIDE TE
|(GIŠ×(DIN.DIN))~a|	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM A
|(GIŠ×(DIN.DIN))~b|	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM B
|(GIŠ×(DIN.DIN))~c|	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM C
|(GIŠ×ŠU₂)~a|	PROTO-CUNEIFORM SIGN GISH TIMES SHU2 FORM A
|(GIŠ×ŠU₂)~b|	PROTO-CUNEIFORM SIGN GISH TIMES SHU2 FORM B
GIŠ~v	PROTO-CUNEIFORM SIGN GISH-V
GIŠ@t	PROTO-CUNEIFORM SIGN GISH TENU
|GIŠ@t.E₂~a|	PROTO-CUNEIFORM SIGN GISH TENU BESIDE E2-A
GIŠ₃~a	PROTO-CUNEIFORM SIGN GISH3-A
|GIŠ₃~a&GIŠ₃~a|	PROTO-CUNEIFORM SIGN GISH3-A OVER GISH3-A
GIŠ₃~b	PROTO-CUNEIFORM SIGN GISH3-B
GIŠGAL	PROTO-CUNEIFORM SIGN GISHGAL
GIŠIMMAR~a1	PROTO-CUNEIFORM SIGN GISHIMMAR-A1
GIŠIMMAR~a2	PROTO-CUNEIFORM SIGN GISHIMMAR-A2
GIŠIMMAR~a3	PROTO-CUNEIFORM SIGN GISHIMMAR-A3
GIŠIMMAR~b1	PROTO-CUNEIFORM SIGN GISHIMMAR-B1
GIŠIMMAR~b2	PROTO-CUNEIFORM SIGN GISHIMMAR-B2
GIŠIMMAR~b3	PROTO-CUNEIFORM SIGN GISHIMMAR-B3
GIZZAL~v	PROTO-CUNEIFORM SIGN GIZZAL-V
GU	PROTO-CUNEIFORM SIGN GU
GU₂	PROTO-CUNEIFORM SIGN GU2
GU₄	PROTO-CUNEIFORM SIGN GU4
|GU₄.ZATU755~b|	PROTO-CUNEIFORM SIGN GU4 BESIDE ZATU755-B
|GU₄×1(N58)|	PROTO-CUNEIFORM SIGN GU4 TIMES ONE-N58
GU₄@g	PROTO-CUNEIFORM SIGN GU4 GUNU
GU₇	PROTO-CUNEIFORM SIGN GU7
GUB₃~a	PROTO-CUNEIFORM SIGN GUB3-A
GUB₃~b	PROTO-CUNEIFORM SIGN GUB3-B
GUB₃~c	PROTO-CUNEIFORM SIGN GUB3-C
GUB₃~d	PROTO-CUNEIFORM SIGN GUB3-D
GUG₂	PROTO-CUNEIFORM SIGN GUG2
|GUG₂×SILA₃~a|	PROTO-CUNEIFORM SIGN GUG2 TIMES SILA3-A
|GUG₂×ŠITA~a1|	PROTO-CUNEIFORM SIGN GUG2 TIMES SHITA-A1
|GUG₂×TUR|	PROTO-CUNEIFORM SIGN GUG2 TIMES TUR
GUG₂@t	PROTO-CUNEIFORM SIGN GUG2 TENU
GUKKAL~a	PROTO-CUNEIFORM SIGN GUKKAL-A
|GUKKAL~a.HI@g~a|	PROTO-CUNEIFORM SIGN GUKKAL-A BESIDE HI GUNU-A
GUKKAL~b	PROTO-CUNEIFORM SIGN GUKKAL-B
GUKKAL~c	PROTO-CUNEIFORM SIGN GUKKAL-C
GUKKAL~d	PROTO-CUNEIFORM SIGN GUKKAL-D
GUL	PROTO-CUNEIFORM SIGN GUL
GUM~a	PROTO-CUNEIFORM SIGN GUM-A
GUM~b	PROTO-CUNEIFORM SIGN GUM-B
GUM~b@n	PROTO-CUNEIFORM SIGN GUM-B NUTILLU
GUN₃~a	PROTO-CUNEIFORM SIGN GUN3-A
GUN₃~b	PROTO-CUNEIFORM SIGN GUN3-B
GUR	PROTO-CUNEIFORM SIGN GUR
GURUŠ~a	PROTO-CUNEIFORM SIGN GURUSH-A
|GURUŠ~a×2(N14)|	PROTO-CUNEIFORM SIGN GURUSH-A TIMES TWO-N14
GURUŠ~b	PROTO-CUNEIFORM SIGN GURUSH-B
|GURUŠ~b×2(N14)|	PROTO-CUNEIFORM SIGN GURUSH-B TIMES TWO-N14
|GURUŠ~c×2(N14)|	PROTO-CUNEIFORM SIGN GURUSH-C TIMES TWO-N14
GURUŠDA	PROTO-CUNEIFORM SIGN GURUSHDA
HAL	PROTO-CUNEIFORM SIGN HAL
HALUB	PROTO-CUNEIFORM SIGN HALUB
HAŠHUR	PROTO-CUNEIFORM SIGN HASHHUR
|HAŠHUR×MA|	PROTO-CUNEIFORM SIGN HASHHUR TIMES MA
HI	PROTO-CUNEIFORM SIGN HI
|HI.SUHUR|	PROTO-CUNEIFORM SIGN HI BESIDE SUHUR
|HI×LAGAB~a|	PROTO-CUNEIFORM SIGN HI TIMES LAGAB-A
|HI×ŠE₃@t|	PROTO-CUNEIFORM SIGN HI TIMES SHE3 TENU
|HI×ZATU707~a|	PROTO-CUNEIFORM SIGN HI TIMES ZATU707-A
|HI×1(N01@f)|	PROTO-CUNEIFORM SIGN HI TIMES ONE-N1 FLAT
|HI×1(N57)|	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57
|(HI×1(N57)).(HI×1(N57))|	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57 BESIDE HI TIMES ONE-N57
|HI×1(N57@t)|	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57 TENU
|HI×1(N58)|	PROTO-CUNEIFORM SIGN HI TIMES ONE-N58
HI~b	PROTO-CUNEIFORM SIGN HI-B
HI@g~a	PROTO-CUNEIFORM SIGN HI GUNU-A
HI@g~b	PROTO-CUNEIFORM SIGN HI GUNU-B
HI@g~c	PROTO-CUNEIFORM SIGN HI GUNU-C
HUB₂	PROTO-CUNEIFORM SIGN HUB2
I	PROTO-CUNEIFORM SIGN I
IB~a	PROTO-CUNEIFORM SIGN IB-A
IB~a@n	PROTO-CUNEIFORM SIGN IB-A NUTILLU
IB~b	PROTO-CUNEIFORM SIGN IB-B
IB~c	PROTO-CUNEIFORM SIGN IB-C
IDIGNA	PROTO-CUNEIFORM SIGN IDIGNA
IG~a	PROTO-CUNEIFORM SIGN IG-A
IG~b	PROTO-CUNEIFORM SIGN IG-B
IGI	PROTO-CUNEIFORM SIGN IGI
IL	PROTO-CUNEIFORM SIGN IL
ILDUM~a	PROTO-CUNEIFORM SIGN ILDUM-A
ILDUM~b	PROTO-CUNEIFORM SIGN ILDUM-B
IM~a	PROTO-CUNEIFORM SIGN IM-A
IM~a@g	PROTO-CUNEIFORM SIGN IM-A GUNU
IM~b	PROTO-CUNEIFORM SIGN IM-B
IN~b	PROTO-CUNEIFORM SIGN IN-B
IN~d	PROTO-CUNEIFORM SIGN IN-D
IR~a	PROTO-CUNEIFORM SIGN IR-A
|IR~a.GA₂~a1|	PROTO-CUNEIFORM SIGN IR-A BESIDE GA2-A1
IR~b	PROTO-CUNEIFORM SIGN IR-B
IR~c	PROTO-CUNEIFORM SIGN IR-C
IR~d	PROTO-CUNEIFORM SIGN IR-D
IR₁₁	PROTO-CUNEIFORM SIGN IR11
IRHAN	PROTO-CUNEIFORM SIGN IRHAN
IŠ~a	PROTO-CUNEIFORM SIGN ISH-A
IŠ~b	PROTO-CUNEIFORM SIGN ISH-B
IŠ~c	PROTO-CUNEIFORM SIGN ISH-C
KA~a	PROTO-CUNEIFORM SIGN KA-A
|KA~a.ŠE~a|	PROTO-CUNEIFORM SIGN KA-A BESIDE SHE-A
|KA~a×SAR~a|	PROTO-CUNEIFORM SIGN KA-A TIMES SAR-A
KA₂~a	PROTO-CUNEIFORM SIGN KA2-A
KA₂~b	PROTO-CUNEIFORM SIGN KA2-B
KA₂~c	PROTO-CUNEIFORM SIGN KA2-C
KA₂~d	PROTO-CUNEIFORM SIGN KA2-D
|KA₂~d×LAM~b|	PROTO-CUNEIFORM SIGN KA2-D TIMES LAM-B
KAB	PROTO-CUNEIFORM SIGN KAB
|KAB×1(N58)|	PROTO-CUNEIFORM SIGN KAB TIMES ONE-N58
KAD₄~a	PROTO-CUNEIFORM SIGN KAD4-A
KAD₄~b	PROTO-CUNEIFORM SIGN KAD4-B
KAD₄~c1	PROTO-CUNEIFORM SIGN KAD4-C1
KAD₄~c2	PROTO-CUNEIFORM SIGN KAD4-C2
KAK~a	PROTO-CUNEIFORM SIGN KAK-A
|KAK~a.GA₂~a1|	PROTO-CUNEIFORM SIGN KAK-A BESIDE GA2-A1
KAK~b	PROTO-CUNEIFORM SIGN KAK-B
KAL~a	PROTO-CUNEIFORM SIGN KAL-A
KAL~b1	PROTO-CUNEIFORM SIGN KAL-B1
KAL~b2	PROTO-CUNEIFORM SIGN KAL-B2
KALAM~a	PROTO-CUNEIFORM SIGN KALAM-A
KALAM~b	PROTO-CUNEIFORM SIGN KALAM-B
KALAM~c	PROTO-CUNEIFORM SIGN KALAM-C
KALAM~d	PROTO-CUNEIFORM SIGN KALAM-D
KALAM~e	PROTO-CUNEIFORM SIGN KALAM-E
KALAM~f	PROTO-CUNEIFORM SIGN KALAM-F
KALAM~g	PROTO-CUNEIFORM SIGN KALAM-G
KALAM~h	PROTO-CUNEIFORM SIGN KALAM-H
KALAM~h2	PROTO-CUNEIFORM SIGN KALAM-H2
KAR	PROTO-CUNEIFORM SIGN KAR
KAR₂~a	PROTO-CUNEIFORM SIGN KAR2-A
KAR₂~b	PROTO-CUNEIFORM SIGN KAR2-B
KASKAL	PROTO-CUNEIFORM SIGN KASKAL
KASKAL@g	PROTO-CUNEIFORM SIGN KASKAL GUNU
KAŠ~a	PROTO-CUNEIFORM SIGN KASH-A
KAŠ~b	PROTO-CUNEIFORM SIGN KASH-B
|KAŠ~b×ŠE~a@t|	PROTO-CUNEIFORM SIGN KASH-B TIMES SHE-A TENU
KAŠ~b@t	PROTO-CUNEIFORM SIGN KASH-B TENU
KAŠ~c	PROTO-CUNEIFORM SIGN KASH-C
KAŠ~d	PROTO-CUNEIFORM SIGN KASH-D
KEŠ₂	PROTO-CUNEIFORM SIGN KESH2
KI	PROTO-CUNEIFORM SIGN KI
KI@n	PROTO-CUNEIFORM SIGN KI NUTILLU
|KI@n×DUB~a|	PROTO-CUNEIFORM SIGN KI NUTILLU TIMES DUB-A
KIB	PROTO-CUNEIFORM SIGN KIB
KIB@g	PROTO-CUNEIFORM SIGN KIB GUNU
KID~a	PROTO-CUNEIFORM SIGN KID-A
KID~b	PROTO-CUNEIFORM SIGN KID-B
KID~c	PROTO-CUNEIFORM SIGN KID-C
KID~d	PROTO-CUNEIFORM SIGN KID-D
KID~e	PROTO-CUNEIFORM SIGN KID-E
KIN	PROTO-CUNEIFORM SIGN KIN
KIN₂~a	PROTO-CUNEIFORM SIGN KIN2-A
KIN₂~b	PROTO-CUNEIFORM SIGN KIN2-B
KIN₂~c	PROTO-CUNEIFORM SIGN KIN2-C
KIN₂~d	PROTO-CUNEIFORM SIGN KIN2-D
KIN₂~e	PROTO-CUNEIFORM SIGN KIN2-E
KINGAL	PROTO-CUNEIFORM SIGN KINGAL
KIR₁₁	PROTO-CUNEIFORM SIGN KIR11
KISAL~a1	PROTO-CUNEIFORM SIGN KISAL-A1
KISAL~a2	PROTO-CUNEIFORM SIGN KISAL-A2
KISAL~b1	PROTO-CUNEIFORM SIGN KISAL-B1
KISAL~b2	PROTO-CUNEIFORM SIGN KISAL-B2
KISAL~b2@t	PROTO-CUNEIFORM SIGN KISAL-B2 TENU
KISAL~b3	PROTO-CUNEIFORM SIGN KISAL-B3
KISIM~a	PROTO-CUNEIFORM SIGN KISIM-A
KISIM~b	PROTO-CUNEIFORM SIGN KISIM-B
KISIM~c	PROTO-CUNEIFORM SIGN KISIM-C
KIŠ	PROTO-CUNEIFORM SIGN KISH
KIŠIK~a	PROTO-CUNEIFORM SIGN KISHIK-A
KIŠIK~b	PROTO-CUNEIFORM SIGN KISHIK-B
KITI	PROTO-CUNEIFORM SIGN KITI
KU~a	PROTO-CUNEIFORM SIGN KU-A
KU~a@t	PROTO-CUNEIFORM SIGN KU-A TENU
KU~b1	PROTO-CUNEIFORM SIGN KU-B1
KU~b2	PROTO-CUNEIFORM SIGN KU-B2
KU₃~a	PROTO-CUNEIFORM SIGN KU3-A
KU₃~c	PROTO-CUNEIFORM SIGN KU3-C
KU₆~a	PROTO-CUNEIFORM SIGN KU6-A
|KU₆~a.1(N02)|	PROTO-CUNEIFORM SIGN KU6-A BESIDE ONE-N2
|KU₆~a+GIŠ|	PROTO-CUNEIFORM SIGN KU6-A JOINING GISH
|KU₆~a+KU₆~a|	PROTO-CUNEIFORM SIGN KU6-A JOINING KU6-A
KU₆~a@s	PROTO-CUNEIFORM SIGN KU6-A SHESHIG
KU₆~c	PROTO-CUNEIFORM SIGN KU6-C
KU₆~d	PROTO-CUNEIFORM SIGN KU6-D
KUN	PROTO-CUNEIFORM SIGN KUN
KUR~a	PROTO-CUNEIFORM SIGN KUR-A
|KUR~a.E₂~a|	PROTO-CUNEIFORM SIGN KUR-A BESIDE E2-A
|KUR~a.NUNUZ~a1|	PROTO-CUNEIFORM SIGN KUR-A BESIDE NUNUZ-A1
KUR~b	PROTO-CUNEIFORM SIGN KUR-B
|KUR~b.E₂~a|	PROTO-CUNEIFORM SIGN KUR-B BESIDE E2-A
KUR~c	PROTO-CUNEIFORM SIGN KUR-C
KUR~d	PROTO-CUNEIFORM SIGN KUR-D
KUR@g~a	PROTO-CUNEIFORM SIGN KUR GUNU-A
KUR@g~b	PROTO-CUNEIFORM SIGN KUR GUNU-B
KUŠU₂~a	PROTO-CUNEIFORM SIGN KUSHU2-A
KUŠU₂~b	PROTO-CUNEIFORM SIGN KUSHU2-B
KUŠU₂~c	PROTO-CUNEIFORM SIGN KUSHU2-C
KUŠU₂~d	PROTO-CUNEIFORM SIGN KUSHU2-D
KUŠU₂~e	PROTO-CUNEIFORM SIGN KUSHU2-E
KUŠU₂~f	PROTO-CUNEIFORM SIGN KUSHU2-F
LA~b	PROTO-CUNEIFORM SIGN LA-B
LA~c	PROTO-CUNEIFORM SIGN LA-C
LA~d	PROTO-CUNEIFORM SIGN LA-D
LA~e	PROTO-CUNEIFORM SIGN LA-E
LA₂	PROTO-CUNEIFORM SIGN LA2
LAGAB~a	PROTO-CUNEIFORM SIGN LAGAB-A
|LAGAB~a×BA|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES BA
|LAGAB~a×BIR₃~b|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES BIR3-B
|LAGAB~a×DU₆~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES DU6-A
|LAGAB~a×KAK~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KAK-A
|LAGAB~a×KU₆~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KU6-A
|LAGAB~a×(KU₆~a+KU₆~a)|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KU6-A JOINING KU6-A
|LAGAB~a×KUŠU₂~a@t|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KUSHU2-A TENU
|LAGAB~a×LA₂~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES LA2-A
|LAGAB~a×LAGAB~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES LAGAB-A
|LAGAB~a×ME~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ME-A
|LAGAB~a×NI~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES NI-A
|LAGAB~a×NUN~b|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES NUN-B
